2021/07/10 04:15:36-04:29:35 JST
fH2O= 58.55 /mnt/d/data/Na210710/04/Na042835.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.911000e+01 3.321000e-01 2.436000e-02 6.773000e-03 2.869000e+02 1.203000e+00 1.553946e+03 0.000000e+00 0.000000e+00
0.265320 1.601000e+01 2.788000e-01 4.455000e-02 1.229000e-02 2.864000e+02 1.194000e+00 2.767722e+03 0.000000e+00 0.000000e+00
0.340270 1.788000e+01 3.025000e-01 8.790000e-02 2.409000e-02 2.859000e+02 1.185000e+00 5.339030e+03 0.000000e+00 0.000000e+00
0.415210 1.847000e+01 3.222000e-01 1.538000e-01 4.190000e-02 2.854000e+02 1.177000e+00 9.150838e+03 0.000000e+00 0.000000e+00
0.490160 1.815000e+01 3.457000e-01 1.858000e-01 5.035000e-02 2.849000e+02 1.168000e+00 1.084133e+04 0.000000e+00 0.000000e+00
0.565110 1.628000e+01 3.389000e-01 2.055000e-01 5.539000e-02 2.845000e+02 1.160000e+00 1.176431e+04 0.000000e+00 0.000000e+00
0.640060 1.633000e+01 3.707000e-01 2.008000e-01 5.386000e-02 2.840000e+02 1.151000e+00 1.128809e+04 0.000000e+00 0.000000e+00
0.715010 1.568000e+01 3.968000e-01 2.082000e-01 5.557000e-02 2.835000e+02 1.143000e+00 1.149561e+04 0.000000e+00 0.000000e+00
0.789960 1.586000e+01 4.380000e-01 2.166000e-01 5.753000e-02 2.830000e+02 1.135000e+00 1.174623e+04 0.000000e+00 0.000000e+00
0.864900 1.582000e+01 4.737000e-01 2.210000e-01 5.841000e-02 2.825000e+02 1.126000e+00 1.177434e+04 0.000000e+00 0.000000e+00
0.939850 1.561000e+01 5.041000e-01 2.302000e-01 6.056000e-02 2.820000e+02 1.118000e+00 1.205166e+04 0.000000e+00 0.000000e+00
1.014800 1.513000e+01 5.457000e-01 2.315000e-01 6.063000e-02 2.815000e+02 1.110000e+00 1.191317e+04 0.000000e+00 0.000000e+00
1.127220 1.508000e+01 4.206000e-01 2.371000e-01 7.422000e-02 2.808000e+02 1.098000e+00 1.249146e+04 0.000000e+00 0.000000e+00
1.277120 1.436000e+01 4.733000e-01 2.425000e-01 7.500000e-02 2.798000e+02 1.082000e+00 1.234939e+04 0.000000e+00 0.000000e+00
1.427010 1.483000e+01 5.441000e-01 2.725000e-01 8.333000e-02 2.788000e+02 1.066000e+00 1.341525e+04 0.000000e+00 0.000000e+00
1.576910 1.175000e+01 5.422000e-01 2.700000e-01 8.167000e-02 2.779000e+02 1.050000e+00 1.285839e+04 0.000000e+00 0.000000e+00
1.726810 1.266000e+01 6.373000e-01 3.067000e-01 9.184000e-02 2.769000e+02 1.034000e+00 1.413162e+04 0.000000e+00 0.000000e+00
1.876700 1.063000e+01 6.278000e-01 3.797000e-01 1.128000e-01 2.759000e+02 1.019000e+00 1.693133e+04 0.000000e+00 0.000000e+00
2.026600 1.114000e+01 7.274000e-01 4.504000e-01 1.330000e-01 2.750000e+02 1.004000e+00 1.944352e+04 0.000000e+00 0.000000e+00
2.176500 1.320000e+01 8.674000e-01 4.714000e-01 1.384000e-01 2.740000e+02 9.887000e-01 1.969874e+04 0.000000e+00 0.000000e+00
2.326390 1.229000e+01 9.173000e-01 5.454000e-01 1.595000e-01 2.730000e+02 9.737000e-01 2.206898e+04 0.000000e+00 0.000000e+00
2.476290 1.453000e+01 1.107000e+00 5.917000e-01 1.725000e-01 2.720000e+02 9.590000e-01 2.318961e+04 0.000000e+00 0.000000e+00
2.626180 1.339000e+01 1.162000e+00 6.898000e-01 2.008000e-01 2.711000e+02 9.445000e-01 2.619375e+04 0.000000e+00 0.000000e+00
2.776080 1.237000e+01 1.211000e+00 8.050000e-01 2.341000e-01 2.701000e+02 9.302000e-01 2.962077e+04 0.000000e+00 0.000000e+00
2.925980 8.226000e+00 9.971000e-01 9.381000e-01 2.728000e-01 2.691000e+02 9.161000e-01 3.346135e+04 0.000000e+00 0.000000e+00
3.075870 1.068000e+01 1.319000e+00 1.270000e+00 3.672000e-01 2.682000e+02 9.021000e-01 4.306406e+04 0.000000e+00 0.000000e+00
3.225770 8.364000e+00 1.209000e+00 1.637000e+00 4.671000e-01 2.672000e+02 8.881000e-01 5.146260e+04 0.000000e+00 0.000000e+00
3.375670 6.896000e+00 1.171000e+00 2.123000e+00 5.866000e-01 2.662000e+02 8.744000e-01 5.986488e+04 0.000000e+00 0.000000e+00
3.525560 6.772000e+00 1.213000e+00 3.055000e+00 7.641000e-01 2.652000e+02 8.608000e-01 7.261612e+04 0.000000e+00 0.000000e+00
3.675460 4.582000e+00 1.096000e+00 3.005000e+00 6.740000e-01 2.643000e+02 8.475000e-01 6.055682e+04 0.000000e+00 0.000000e+00
3.825350 4.381000e+00 1.179000e+00 2.613000e+00 5.397000e-01 2.633000e+02 8.344000e-01 4.592069e+04 0.000000e+00 0.000000e+00
3.975250 4.804000e+00 1.297000e+00 2.358000e+00 4.562000e-01 2.623000e+02 8.215000e-01 3.681961e+04 0.000000e+00 0.000000e+00
4.125150 6.603000e+00 1.872000e+00 2.152000e+00 3.955000e-01 2.613000e+02 8.085000e-01 3.029096e+04 0.000000e+00 0.000000e+00
4.275040 6.417000e+00 2.051000e+00 2.477000e+00 4.161000e-01 2.604000e+02 7.957000e-01 3.083149e+04 0.000000e+00 0.000000e+00
4.424940 1.414000e+01 3.742000e+00 2.781000e+00 4.004000e-01 2.594000e+02 7.830000e-01 3.008783e+04 0.000000e+00 0.000000e+00
