2021/07/09 12:00:00-12:13:52 JST
fH2O= 62.19 /media/data/L0/Ko210709/12/Ko121300.(00-0d)25ns 24000/40bin dz149.90 7316 shot 0.300mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.192370 2.192000e+01 1.228000e+00 -9.990000e+02 -3.676000e+02 2.869000e+02 1.202000e+00 1.627565e+03 0.000000e+00 0.000000e+00
0.267320 1.978000e+01 8.448000e-01 -9.990000e+02 -3.676000e+02 2.864000e+02 1.194000e+00 4.360926e+03 0.000000e+00 0.000000e+00
0.342270 -9.990000e+02 -9.990000e+11 -9.990000e+02 -3.676000e+02 2.859000e+02 1.185000e+00 8.755795e+03 0.000000e+00 0.000000e+00
0.417210 2.080000e+01 7.213000e-01 -9.990000e+02 -3.676000e+02 2.854000e+02 1.176000e+00 1.597621e+04 0.000000e+00 0.000000e+00
0.492160 1.982000e+01 8.233000e-01 -9.990000e+02 -3.676000e+02 2.849000e+02 1.168000e+00 3.090337e+04 0.000000e+00 0.000000e+00
0.567110 2.000000e+01 1.095000e+00 -9.990000e+02 -3.676000e+02 2.844000e+02 1.159000e+00 2.705918e+04 0.000000e+00 0.000000e+00
0.642060 2.042000e+01 1.531000e+00 -9.990000e+02 -3.676000e+02 2.840000e+02 1.151000e+00 3.364519e+04 0.000000e+00 0.000000e+00
0.717010 2.058000e+01 2.283000e+00 -9.990000e+02 -3.676000e+02 2.835000e+02 1.143000e+00 3.604571e+04 0.000000e+00 0.000000e+00
0.791960 1.942000e+01 3.781000e+00 -9.990000e+02 -3.676000e+02 2.830000e+02 1.134000e+00 3.176093e+04 0.000000e+00 0.000000e+00
0.866900 -9.990000e+02 -9.990000e+11 -9.990000e+02 -3.677000e+02 2.825000e+02 1.126000e+00 2.227641e+04 0.000000e+00 0.000000e+00
0.941850 -9.990000e+02 -9.990000e+11 -9.990000e+02 -3.678000e+02 2.820000e+02 1.118000e+00 8.846241e+03 0.000000e+00 0.000000e+00
1.016800 -9.990000e+02 -9.990000e+11 -9.990000e+02 -3.678000e+02 2.815000e+02 1.110000e+00 8.277640e+03 0.000000e+00 0.000000e+00
1.129220 1.419000e+01 1.423000e+01 -9.990000e+02 -2.437000e+02 2.808000e+02 1.098000e+00 1.313071e+04 0.000000e+00 0.000000e+00
1.279120 1.603000e+01 3.554000e+01 -9.990000e+02 -2.437000e+02 2.798000e+02 1.081000e+00 1.116846e+04 0.000000e+00 0.000000e+00
1.429010 -9.990000e+02 -9.990000e+11 -9.990000e+02 -2.442000e+02 2.788000e+02 1.065000e+00 3.301501e+03 0.000000e+00 0.000000e+00
1.578910 -9.990000e+02 -9.990000e+11 -9.990000e+02 -2.445000e+02 2.779000e+02 1.050000e+00 2.850420e+03 0.000000e+00 0.000000e+00
1.728810 -9.990000e+02 -1.654000e+105 -9.990000e+02 -2.456000e+02 2.769000e+02 1.034000e+00 1.511059e+03 0.000000e+00 0.000000e+00
1.878700 -9.990000e+02 -1.654000e+105 -9.990000e+02 -2.465000e+02 2.759000e+02 1.019000e+00 1.202741e+03 0.000000e+00 0.000000e+00
2.028600 -9.990000e+02 -9.990000e+11 -9.990000e+02 -2.465000e+02 2.750000e+02 1.004000e+00 1.400271e+03 0.000000e+00 0.000000e+00
2.178500 -9.990000e+02 -1.482000e+105 -9.990000e+02 -2.547000e+02 2.740000e+02 9.885000e-01 4.058642e+02 0.000000e+00 0.000000e+00
2.328390 -9.990000e+02 -9.990000e+11 -9.990000e+02 -2.697000e+02 2.730000e+02 9.735000e-01 1.789269e+02 0.000000e+00 0.000000e+00
2.478290 -9.990000e+02 -1.482000e+105 -9.990000e+02 -3.093000e+02 2.720000e+02 9.588000e-01 5.835207e+01 0.000000e+00 0.000000e+00
