2021/07/09 12:45:57-12:59:56 JST
fH2O= 58.55 /mnt/d/data/Na210709/12/Na125856.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.993000e+01 5.197000e-01 4.236000e-01 1.166000e-01 2.869000e+02 1.203000e+00 5.094531e+03 0.000000e+00 0.000000e+00
0.265320 1.835000e+01 5.018000e-01 2.771000e-01 7.596000e-02 2.864000e+02 1.194000e+00 3.245820e+03 0.000000e+00 0.000000e+00
0.340270 1.787000e+01 5.104000e-01 3.559000e-01 9.721000e-02 2.859000e+02 1.185000e+00 4.075728e+03 0.000000e+00 0.000000e+00
0.415210 1.696000e+01 5.404000e-01 5.038000e-01 1.373000e-01 2.854000e+02 1.177000e+00 5.652424e+03 0.000000e+00 0.000000e+00
0.490160 1.685000e+01 5.880000e-01 6.463000e-01 1.760000e-01 2.849000e+02 1.168000e+00 7.110787e+03 0.000000e+00 0.000000e+00
0.565110 1.571000e+01 6.139000e-01 8.168000e-01 2.224000e-01 2.845000e+02 1.160000e+00 8.818765e+03 0.000000e+00 0.000000e+00
0.640060 1.579000e+01 7.125000e-01 1.098000e+00 2.985000e-01 2.840000e+02 1.151000e+00 1.158247e+04 0.000000e+00 0.000000e+00
0.715010 1.684000e+01 9.239000e-01 6.672000e+00 1.223000e+00 2.835000e+02 1.143000e+00 5.345774e+04 0.000000e+00 0.000000e+00
0.789960 1.425000e+01 1.426000e+00 3.993000e+00 6.014000e-01 2.830000e+02 1.135000e+00 2.746743e+04 0.000000e+00 0.000000e+00
0.864900 1.462000e+01 1.750000e+00 1.578000e+00 2.354000e-01 2.825000e+02 1.126000e+00 1.039662e+04 0.000000e+00 0.000000e+00
0.939850 1.657000e+01 2.118000e+00 2.104000e+00 3.028000e-01 2.820000e+02 1.118000e+00 1.296758e+04 0.000000e+00 0.000000e+00
1.014800 1.661000e+01 2.576000e+00 1.516000e+00 2.164000e-01 2.815000e+02 1.110000e+00 8.979009e+03 0.000000e+00 0.000000e+00
1.127220 1.669000e+01 2.304000e+00 2.103000e+00 2.453000e-01 2.808000e+02 1.098000e+00 1.146844e+04 0.000000e+00 0.000000e+00
1.277120 1.711000e+01 3.171000e+00 1.466000e+00 1.643000e-01 2.798000e+02 1.082000e+00 7.427207e+03 0.000000e+00 0.000000e+00
1.427010 1.819000e+01 4.341000e+00 2.198000e+00 1.779000e-01 2.788000e+02 1.066000e+00 9.726149e+03 0.000000e+00 0.000000e+00
1.576910 1.356000e+01 5.359000e+00 1.282000e+00 1.017000e-01 2.779000e+02 1.050000e+00 5.365153e+03 0.000000e+00 0.000000e+00
1.726810 1.898000e+01 6.884000e+00 1.037000e+00 8.277000e-02 2.769000e+02 1.034000e+00 4.190890e+03 0.000000e+00 0.000000e+00
1.876700 2.028000e+01 8.409000e+00 9.147000e-01 7.362000e-02 2.759000e+02 1.019000e+00 3.581252e+03 0.000000e+00 0.000000e+00
2.026600 2.120000e+01 9.466000e+00 8.989000e-01 7.274000e-02 2.750000e+02 1.004000e+00 3.409814e+03 0.000000e+00 0.000000e+00
2.176500 -9.990000e+02 -9.990000e+11 9.163000e-01 7.458000e-02 2.740000e+02 9.887000e-01 3.367652e+03 0.000000e+00 0.000000e+00
2.326390 1.317000e+01 1.354000e+01 9.055000e-01 7.428000e-02 2.730000e+02 9.737000e-01 3.226361e+03 0.000000e+00 0.000000e+00
2.476290 1.516000e+01 1.872000e+01 9.248000e-01 7.642000e-02 2.720000e+02 9.590000e-01 3.194732e+03 0.000000e+00 0.000000e+00
2.626180 -9.990000e+02 -9.990000e+11 9.342000e-01 7.791000e-02 2.711000e+02 9.445000e-01 3.130307e+03 0.000000e+00 0.000000e+00
2.776080 6.842000e+00 1.838000e+01 9.872000e-01 8.290000e-02 2.701000e+02 9.302000e-01 3.208413e+03 0.000000e+00 0.000000e+00
2.925980 -9.990000e+02 -9.990000e+11 9.390000e-01 8.011000e-02 2.691000e+02 9.161000e-01 2.964146e+03 0.000000e+00 0.000000e+00
3.075870 3.011000e+01 3.213000e+01 9.796000e-01 8.430000e-02 2.682000e+02 9.021000e-01 3.000921e+03 0.000000e+00 0.000000e+00
3.225770 3.727000e+01 2.785000e+01 9.638000e-01 8.420000e-02 2.672000e+02 8.881000e-01 2.868250e+03 0.000000e+00 0.000000e+00
3.375670 8.434000e+01 4.541000e+01 8.777000e-01 7.854000e-02 2.662000e+02 8.744000e-01 2.542227e+03 0.000000e+00 0.000000e+00
3.525560 6.783000e+01 4.774000e+01 9.623000e-01 8.637000e-02 2.652000e+02 8.608000e-01 2.704588e+03 0.000000e+00 0.000000e+00
3.675460 7.245000e+01 5.981000e+01 8.177000e-01 7.607000e-02 2.643000e+02 8.475000e-01 2.243255e+03 0.000000e+00 0.000000e+00
