2021/07/09 12:30:00-12:43:52 JST
fH2O= 62.19 /media/data/L0/Ko210709/12/Ko124300.(00-0d)25ns 24000/40bin dz149.90 7321 shot 0.300mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.192370 1.892000e+01 6.753000e-01 1.000000e+07 3.234000e+39 2.869000e+02 1.202000e+00 3.066944e+03 0.000000e+00 0.000000e+00
0.267320 1.927000e+01 5.226000e-01 1.000000e+07 5.113000e+39 2.864000e+02 1.194000e+00 8.057429e+03 0.000000e+00 0.000000e+00
0.342270 1.860000e+01 4.947000e-01 1.000000e+07 7.230000e+39 2.859000e+02 1.185000e+00 1.361720e+04 0.000000e+00 0.000000e+00
0.417210 1.952000e+01 5.751000e-01 1.000000e+07 9.565000e+39 2.854000e+02 1.176000e+00 2.767614e+04 0.000000e+00 0.000000e+00
0.492160 1.975000e+01 9.710000e-01 1.000000e+07 1.210000e+40 2.849000e+02 1.168000e+00 3.489500e+04 0.000000e+00 0.000000e+00
0.567110 1.873000e+01 2.733000e+00 1.000000e+07 1.482000e+40 2.844000e+02 1.159000e+00 2.210013e+04 0.000000e+00 0.000000e+00
0.642060 -9.990000e+02 -9.990000e+11 1.000000e+07 1.771000e+40 2.840000e+02 1.151000e+00 5.798754e+03 0.000000e+00 0.000000e+00
0.717010 -9.990000e+02 -9.990000e+11 1.000000e+07 2.077000e+40 2.835000e+02 1.143000e+00 9.849427e+02 0.000000e+00 0.000000e+00
0.791960 -9.990000e+02 -9.990000e+11 1.000000e+07 2.398000e+40 2.830000e+02 1.134000e+00 1.584117e+03 0.000000e+00 0.000000e+00
0.866900 -9.990000e+02 -9.990000e+11 1.000000e+07 2.734000e+40 2.825000e+02 1.126000e+00 7.991615e+02 0.000000e+00 0.000000e+00
0.941850 -9.990000e+02 -9.990000e+11 1.000000e+07 3.085000e+40 2.820000e+02 1.118000e+00 3.942241e+02 0.000000e+00 0.000000e+00
1.016800 -9.990000e+02 -4.902000e+104 1.000000e+07 3.449000e+40 2.815000e+02 1.110000e+00 1.871968e+02 0.000000e+00 0.000000e+00
1.129220 1.887000e+01 1.351000e+02 1.000000e+07 1.185000e+41 2.808000e+02 1.098000e+00 4.527176e+01 0.000000e+00 0.000000e+00
1.279120 -9.990000e+02 -9.990000e+11 1.000000e+07 1.417000e+41 2.798000e+02 1.081000e+00 1.799850e+01 0.000000e+00 0.000000e+00
1.429010 -9.990000e+02 -9.990000e+11 1.000000e+07 1.661000e+41 2.788000e+02 1.065000e+00 1.276505e+02 0.000000e+00 0.000000e+00
1.578910 -9.990000e+02 -6.199000e+104 1.000000e+07 1.918000e+41 2.779000e+02 1.050000e+00 3.241041e+01 0.000000e+00 0.000000e+00
1.728810 -9.990000e+02 -9.990000e+11 1.000000e+07 2.187000e+41 2.769000e+02 1.034000e+00 6.575875e+01 0.000000e+00 0.000000e+00
1.878700 -9.990000e+02 -6.199000e+104 1.000000e+07 2.468000e+41 2.759000e+02 1.019000e+00 7.059325e+00 0.000000e+00 0.000000e+00
2.028600 -9.990000e+02 -9.990000e+11 1.000000e+07 2.759000e+41 2.750000e+02 1.004000e+00 8.230801e+00 0.000000e+00 0.000000e+00
