2021/07/10 03:45:00-03:58:52 JST
fH2O= 62.19 /media/data/L0/Ko210710/03/Ko035800.(00-0d)25ns 24000/40bin dz149.90 7315 shot 0.300mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.192370 1.543000e+01 9.417000e-01 -9.990000e+02 -8.445000e+02 2.869000e+02 1.202000e+00 1.281867e+03 0.000000e+00 0.000000e+00
0.267320 1.509000e+01 1.066000e+00 -9.990000e+02 -8.445000e+02 2.864000e+02 1.194000e+00 1.800066e+03 0.000000e+00 0.000000e+00
0.342270 1.752000e+01 1.403000e+00 -9.990000e+02 -8.445000e+02 2.859000e+02 1.185000e+00 2.240359e+03 0.000000e+00 0.000000e+00
0.417210 1.573000e+01 1.434000e+00 -9.990000e+02 -8.445000e+02 2.854000e+02 1.176000e+00 2.614988e+03 0.000000e+00 0.000000e+00
0.492160 1.268000e+01 1.477000e+00 -9.990000e+02 -8.445000e+02 2.849000e+02 1.168000e+00 2.834177e+03 0.000000e+00 0.000000e+00
0.567110 1.199000e+01 1.708000e+00 -9.990000e+02 -8.445000e+02 2.844000e+02 1.159000e+00 2.935303e+03 0.000000e+00 0.000000e+00
0.642060 1.584000e+01 2.294000e+00 -9.990000e+02 -8.446000e+02 2.840000e+02 1.151000e+00 2.907357e+03 0.000000e+00 0.000000e+00
0.717010 1.624000e+01 2.585000e+00 -9.990000e+02 -8.446000e+02 2.835000e+02 1.143000e+00 2.880217e+03 0.000000e+00 0.000000e+00
0.791960 1.718000e+01 3.115000e+00 -9.990000e+02 -8.446000e+02 2.830000e+02 1.134000e+00 2.731332e+03 0.000000e+00 0.000000e+00
0.866900 1.351000e+01 2.990000e+00 -9.990000e+02 -8.446000e+02 2.825000e+02 1.126000e+00 2.574900e+03 0.000000e+00 0.000000e+00
0.941850 6.137000e+00 2.049000e+00 -9.990000e+02 -8.447000e+02 2.820000e+02 1.118000e+00 2.448709e+03 0.000000e+00 0.000000e+00
1.016800 1.062000e+01 3.087000e+00 -9.990000e+02 -8.448000e+02 2.815000e+02 1.110000e+00 2.176882e+03 0.000000e+00 0.000000e+00
1.129220 1.268000e+01 3.125000e+00 -9.990000e+02 -7.252000e+02 2.808000e+02 1.098000e+00 1.974880e+03 0.000000e+00 0.000000e+00
1.279120 8.884000e+00 3.027000e+00 -9.990000e+02 -7.253000e+02 2.798000e+02 1.081000e+00 1.727705e+03 0.000000e+00 0.000000e+00
1.429010 1.495000e+01 5.308000e+00 -9.990000e+02 -7.255000e+02 2.788000e+02 1.065000e+00 1.326201e+03 0.000000e+00 0.000000e+00
1.578910 1.527000e+01 7.737000e+00 -9.990000e+02 -7.257000e+02 2.779000e+02 1.050000e+00 1.063025e+03 0.000000e+00 0.000000e+00
1.728810 1.783000e+01 7.733000e+00 -9.990000e+02 -7.261000e+02 2.769000e+02 1.034000e+00 8.927665e+02 0.000000e+00 0.000000e+00
1.878700 1.431000e+01 8.089000e+00 -9.990000e+02 -7.265000e+02 2.759000e+02 1.019000e+00 7.874955e+02 0.000000e+00 0.000000e+00
2.028600 7.502000e+00 5.824000e+00 -9.990000e+02 -7.269000e+02 2.750000e+02 1.004000e+00 7.307642e+02 0.000000e+00 0.000000e+00
2.178500 -9.990000e+02 -3.159000e+102 -9.990000e+02 -7.270000e+02 2.740000e+02 9.885000e-01 7.952567e+02 0.000000e+00 0.000000e+00
2.328390 1.208000e+01 7.817000e+00 -9.990000e+02 -7.272000e+02 2.730000e+02 9.735000e-01 8.189376e+02 0.000000e+00 0.000000e+00
2.478290 -9.990000e+02 -9.990000e+11 -9.990000e+02 -7.279000e+02 2.720000e+02 9.588000e-01 7.126758e+02 0.000000e+00 0.000000e+00
2.628180 1.181000e+01 1.385000e+01 -9.990000e+02 -7.280000e+02 2.711000e+02 9.443000e-01 7.703908e+02 0.000000e+00 0.000000e+00
2.778080 -9.990000e+02 -3.159000e+102 -9.990000e+02 -7.277000e+02 2.701000e+02 9.300000e-01 9.534419e+02 0.000000e+00 0.000000e+00
2.927980 -9.990000e+02 -3.159000e+102 -9.990000e+02 -7.280000e+02 2.691000e+02 9.159000e-01 9.604652e+02 0.000000e+00 0.000000e+00
3.077870 -9.990000e+02 -3.159000e+102 -9.990000e+02 -7.283000e+02 2.682000e+02 9.019000e-01 9.665380e+02 0.000000e+00 0.000000e+00
3.227770 -9.990000e+02 -3.159000e+102 -9.990000e+02 -7.285000e+02 2.672000e+02 8.879000e-01 9.952243e+02 0.000000e+00 0.000000e+00
3.377670 -9.990000e+02 -3.159000e+102 -9.990000e+02 -7.300000e+02 2.662000e+02 8.742000e-01 7.645304e+02 0.000000e+00 0.000000e+00
3.527560 3.027000e+01 3.999000e+01 -9.990000e+02 -7.312000e+02 2.652000e+02 8.607000e-01 6.720729e+02 0.000000e+00 0.000000e+00
3.677460 -9.990000e+02 -5.472000e+102 -9.990000e+02 -7.322000e+02 2.642000e+02 8.473000e-01 6.289493e+02 0.000000e+00 0.000000e+00
3.827350 -9.990000e+02 -5.472000e+102 -9.990000e+02 -7.341000e+02 2.633000e+02 8.342000e-01 5.420709e+02 0.000000e+00 0.000000e+00
3.977250 -9.990000e+02 -5.472000e+102 -9.990000e+02 -7.420000e+02 2.623000e+02 8.213000e-01 3.084906e+02 0.000000e+00 0.000000e+00
4.127150 -9.990000e+02 -5.472000e+102 -9.990000e+02 -8.822000e+02 2.613000e+02 8.083000e-01 2.555151e+01 0.000000e+00 0.000000e+00
4.277040 -9.990000e+02 -3.159000e+102 -9.990000e+02 -1.018000e+03 2.604000e+02 7.955000e-01 9.147039e+00 0.000000e+00 0.000000e+00
4.426940 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.018000e+03 2.594000e+02 7.829000e-01 9.799443e+00 0.000000e+00 0.000000e+00
4.576830 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.584000e+02 7.704000e-01 0.000000e+00 0.000000e+00 0.000000e+00
4.726730 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.574000e+02 7.582000e-01 0.000000e+00 0.000000e+00 0.000000e+00
4.876630 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.311000e+01 2.565000e+02 7.462000e-01 0.000000e+00 0.000000e+00 0.000000e+00
5.026520 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.555000e+02 7.343000e-01 0.000000e+00 0.000000e+00 0.000000e+00
5.176420 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.018000e+03 2.545000e+02 7.224000e-01 1.339843e+01 0.000000e+00 0.000000e+00
5.326320 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.535000e+02 7.106000e-01 0.000000e+00 0.000000e+00 0.000000e+00
5.476210 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.526000e+02 6.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00
5.626110 6.314000e+01 1.003000e+02 -9.990000e+02 -9.294000e+02 2.516000e+02 6.877000e-01 3.165498e+01 0.000000e+00 0.000000e+00
5.776000 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.506000e+02 6.765000e-01 0.000000e+00 0.000000e+00 0.000000e+00
5.925900 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.018000e+03 2.497000e+02 6.655000e-01 1.755917e+01 0.000000e+00 0.000000e+00
6.075800 -9.990000e+02 -5.472000e+102 -9.990000e+02 -8.822000e+02 2.487000e+02 6.545000e-01 5.537641e+01 0.000000e+00 0.000000e+00
6.225690 -9.990000e+02 -3.159000e+102 -9.990000e+02 -1.025000e+03 2.477000e+02 6.436000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.375590 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.467000e+02 6.329000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.525490 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.458000e+02 6.223000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.675380 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.448000e+02 6.119000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.825280 -9.990000e+02 -3.159000e+102 -9.990000e+02 -1.025000e+03 2.438000e+02 6.017000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.975170 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.429000e+02 5.917000e-01 0.000000e+00 0.000000e+00 0.000000e+00
7.125070 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.419000e+02 5.816000e-01 0.000000e+00 0.000000e+00 0.000000e+00
7.274970 5.640000e+101 2.522000e+201 -9.990000e+02 -1.025000e+03 2.409000e+02 5.716000e-01 0.000000e+00 0.000000e+00 0.000000e+00
7.424860 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.018000e+03 2.399000e+02 5.618000e-01 2.756594e+01 0.000000e+00 0.000000e+00
7.574760 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.018000e+03 2.389000e+02 5.522000e-01 2.869023e+01 0.000000e+00 0.000000e+00
7.724660 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.380000e+02 5.427000e-01 0.000000e+00 0.000000e+00 0.000000e+00
7.874550 -9.990000e+02 -3.159000e+102 -9.990000e+02 -1.025000e+03 2.370000e+02 5.334000e-01 0.000000e+00 0.000000e+00 0.000000e+00
8.024450 -9.990000e+02 -3.159000e+102 -9.990000e+02 -1.025000e+03 2.361000e+02 5.243000e-01 0.000000e+00 0.000000e+00 0.000000e+00
8.174340 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.018000e+03 2.351000e+02 5.150000e-01 3.341196e+01 0.000000e+00 0.000000e+00
8.324240 -9.990000e+02 -3.159000e+102 -9.990000e+02 -1.018000e+03 2.341000e+02 5.060000e-01 3.464861e+01 0.000000e+00 0.000000e+00
8.474140 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.331000e+02 4.971000e-01 0.000000e+00 0.000000e+00 0.000000e+00
8.624030 -9.990000e+02 -3.159000e+102 -9.990000e+02 -9.294000e+02 2.321000e+02 4.883000e-01 7.437854e+01 0.000000e+00 0.000000e+00
8.773930 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.312000e+02 4.797000e-01 0.000000e+00 0.000000e+00 0.000000e+00
8.923830 -9.990000e+02 -5.472000e+102 -9.990000e+02 -9.294000e+02 2.302000e+02 4.713000e-01 7.963973e+01 0.000000e+00 0.000000e+00
9.073720 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.018000e+03 2.292000e+02 4.629000e-01 4.116874e+01 0.000000e+00 0.000000e+00
9.223620 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.283000e+02 4.545000e-01 0.000000e+00 0.000000e+00 0.000000e+00
9.373510 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.273000e+02 4.463000e-01 0.000000e+00 0.000000e+00 0.000000e+00
9.523410 -9.990000e+02 -5.472000e+102 -9.990000e+02 -8.527000e+02 2.263000e+02 4.382000e-01 1.814025e+02 0.000000e+00 0.000000e+00
9.673310 -9.990000e+02 -5.472000e+102 -9.990000e+02 -1.025000e+03 2.253000e+02 4.303000e-01 0.000000e+00 0.000000e+00 0.000000e+00
9.823200 -9.990000e+02 -5.472000e+102 -9.990000e+02 -9.294000e+02 2.244000e+02 4.225000e-01 9.650136e+01 0.000000e+00 0.000000e+00
