2021/07/10 00:30:56-00:44:54 JST
fH2O= 58.55 /mnt/d/data/Na210710/00/Na004355.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.940000e+01 2.678000e-01 1.041000e-01 8.390000e-03 2.869000e+02 1.203000e+00 2.639859e+03 0.000000e+00 0.000000e+00
0.265320 1.798000e+01 2.322000e-01 2.286000e-01 1.733000e-02 2.864000e+02 1.194000e+00 5.647441e+03 0.000000e+00 0.000000e+00
0.340270 1.783000e+01 2.294000e-01 3.450000e-01 2.492000e-02 2.859000e+02 1.185000e+00 8.334018e+03 0.000000e+00 0.000000e+00
0.415210 1.701000e+01 2.292000e-01 4.420000e-01 3.074000e-02 2.854000e+02 1.177000e+00 1.045917e+04 0.000000e+00 0.000000e+00
0.490160 1.584000e+01 2.286000e-01 5.240000e-01 3.540000e-02 2.849000e+02 1.168000e+00 1.215851e+04 0.000000e+00 0.000000e+00
0.565110 1.404000e+01 2.194000e-01 5.713000e-01 3.768000e-02 2.845000e+02 1.160000e+00 1.300847e+04 0.000000e+00 0.000000e+00
0.640060 1.318000e+01 2.273000e-01 5.993000e-01 3.869000e-02 2.840000e+02 1.151000e+00 1.339831e+04 0.000000e+00 0.000000e+00
0.715010 1.276000e+01 2.409000e-01 6.365000e-01 4.036000e-02 2.835000e+02 1.143000e+00 1.397502e+04 0.000000e+00 0.000000e+00
0.789960 1.278000e+01 2.599000e-01 6.852000e-01 4.287000e-02 2.830000e+02 1.135000e+00 1.477904e+04 0.000000e+00 0.000000e+00
0.864900 1.257000e+01 2.760000e-01 7.318000e-01 4.534000e-02 2.825000e+02 1.126000e+00 1.550789e+04 0.000000e+00 0.000000e+00
0.939850 1.260000e+01 2.958000e-01 7.912000e-01 4.874000e-02 2.820000e+02 1.118000e+00 1.647623e+04 0.000000e+00 0.000000e+00
1.014800 1.275000e+01 3.192000e-01 8.059000e-01 4.944000e-02 2.815000e+02 1.110000e+00 1.649432e+04 0.000000e+00 0.000000e+00
1.127220 1.316000e+01 2.564000e-01 8.268000e-01 3.683000e-02 2.808000e+02 1.098000e+00 1.749239e+04 0.000000e+00 0.000000e+00
1.277120 1.299000e+01 2.893000e-01 8.586000e-01 3.753000e-02 2.798000e+02 1.082000e+00 1.755543e+04 0.000000e+00 0.000000e+00
1.427010 1.173000e+01 3.024000e-01 8.900000e-01 3.852000e-02 2.788000e+02 1.066000e+00 1.759389e+04 0.000000e+00 0.000000e+00
1.576910 1.133000e+01 3.362000e-01 9.185000e-01 3.961000e-02 2.779000e+02 1.050000e+00 1.756297e+04 0.000000e+00 0.000000e+00
1.726810 1.174000e+01 3.803000e-01 9.102000e-01 3.911000e-02 2.769000e+02 1.034000e+00 1.683799e+04 0.000000e+00 0.000000e+00
1.876700 1.072000e+01 3.945000e-01 9.016000e-01 3.858000e-02 2.759000e+02 1.019000e+00 1.614383e+04 0.000000e+00 0.000000e+00
2.026600 8.706000e+00 3.823000e-01 9.241000e-01 3.952000e-02 2.750000e+02 1.004000e+00 1.601885e+04 0.000000e+00 0.000000e+00
2.176500 8.538000e+00 4.084000e-01 9.530000e-01 4.089000e-02 2.740000e+02 9.887000e-01 1.599132e+04 0.000000e+00 0.000000e+00
2.326390 9.959000e+00 5.009000e-01 9.863000e-01 4.255000e-02 2.730000e+02 9.737000e-01 1.602633e+04 0.000000e+00 0.000000e+00
2.476290 8.987000e+00 5.039000e-01 1.002000e+00 4.338000e-02 2.720000e+02 9.590000e-01 1.576534e+04 0.000000e+00 0.000000e+00
2.626180 1.033000e+01 5.981000e-01 1.007000e+00 4.384000e-02 2.711000e+02 9.445000e-01 1.534979e+04 0.000000e+00 0.000000e+00
2.776080 9.721000e+00 6.155000e-01 1.064000e+00 4.627000e-02 2.701000e+02 9.302000e-01 1.563818e+04 0.000000e+00 0.000000e+00
2.925980 6.958000e+00 5.447000e-01 1.043000e+00 4.568000e-02 2.691000e+02 9.161000e-01 1.482184e+04 0.000000e+00 0.000000e+00
3.075870 6.358000e+00 5.625000e-01 1.092000e+00 4.770000e-02 2.682000e+02 9.021000e-01 1.493770e+04 0.000000e+00 0.000000e+00
