2021/07/10 06:45:23-06:59:22 JST
fH2O= 58.55 /mnt/d/data/Na210710/06/Na065822.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.971000e+01 4.097000e-01 1.000000e+07 3.234000e+39 2.869000e+02 1.203000e+00 7.402238e+03 0.000000e+00 0.000000e+00
0.265320 1.663000e+01 4.992000e-01 1.000000e+07 5.113000e+39 2.864000e+02 1.194000e+00 1.646267e+04 0.000000e+00 0.000000e+00
0.340270 1.629000e+01 8.863000e-01 1.000000e+07 7.230000e+39 2.859000e+02 1.185000e+00 1.323799e+04 0.000000e+00 0.000000e+00
0.415210 1.888000e+01 2.208000e+00 1.000000e+07 9.565000e+39 2.854000e+02 1.177000e+00 9.377115e+03 0.000000e+00 0.000000e+00
0.490160 1.145000e+01 1.246000e+01 1.000000e+07 1.210000e+40 2.849000e+02 1.168000e+00 3.610062e+03 0.000000e+00 0.000000e+00
0.565110 -9.990000e+02 -1.549000e+104 1.000000e+07 1.482000e+40 2.845000e+02 1.160000e+00 1.620366e+02 0.000000e+00 0.000000e+00
0.640060 -9.990000e+02 -9.990000e+11 1.000000e+07 1.771000e+40 2.840000e+02 1.151000e+00 5.326545e+01 0.000000e+00 0.000000e+00
0.715010 -9.990000e+02 -9.990000e+11 1.000000e+07 2.077000e+40 2.835000e+02 1.143000e+00 3.834503e+01 0.000000e+00 0.000000e+00
0.789960 -9.990000e+02 -9.990000e+11 1.000000e+07 2.398000e+40 2.830000e+02 1.135000e+00 3.369883e+01 0.000000e+00 0.000000e+00
0.864900 -9.990000e+02 -1.549000e+104 1.000000e+07 2.734000e+40 2.825000e+02 1.126000e+00 1.122037e+01 0.000000e+00 0.000000e+00
0.939850 -9.990000e+02 -9.990000e+11 1.000000e+07 3.085000e+40 2.820000e+02 1.118000e+00 1.236604e+01 0.000000e+00 0.000000e+00
1.014800 -9.990000e+02 -9.990000e+11 1.000000e+07 3.449000e+40 2.815000e+02 1.110000e+00 8.238228e+00 0.000000e+00 0.000000e+00
1.127220 -9.990000e+02 -2.211000e+104 1.000000e+07 1.185000e+41 2.808000e+02 1.098000e+00 6.353301e+00 0.000000e+00 0.000000e+00
1.277120 -9.990000e+02 -2.437000e+104 1.000000e+07 1.417000e+41 2.798000e+02 1.082000e+00 8.155385e-01 0.000000e+00 0.000000e+00
1.427010 -9.990000e+02 -2.211000e+104 1.000000e+07 1.661000e+41 2.788000e+02 1.066000e+00 4.072847e+00 0.000000e+00 0.000000e+00
1.576910 -9.990000e+02 -2.211000e+104 1.000000e+07 1.918000e+41 2.779000e+02 1.050000e+00 2.486730e+00 0.000000e+00 0.000000e+00
1.726810 -9.990000e+02 -2.437000e+104 1.000000e+07 2.187000e+41 2.769000e+02 1.034000e+00 4.472980e+00 0.000000e+00 0.000000e+00
1.876700 -9.990000e+02 -9.990000e+11 1.000000e+07 2.468000e+41 2.759000e+02 1.019000e+00 1.761070e+00 0.000000e+00 0.000000e+00
2.026600 -9.990000e+02 -2.211000e+104 1.000000e+07 2.759000e+41 2.750000e+02 1.004000e+00 4.107278e+00 0.000000e+00 0.000000e+00
2.176500 -9.990000e+02 -9.990000e+11 1.000000e+07 3.061000e+41 2.740000e+02 9.887000e-01 0.000000e+00 0.000000e+00 0.000000e+00
2.326390 -9.990000e+02 -2.211000e+104 1.000000e+07 3.373000e+41 2.730000e+02 9.737000e-01 2.706166e+00 0.000000e+00 0.000000e+00
2.476290 -9.990000e+02 -9.990000e+11 1.000000e+07 3.695000e+41 2.720000e+02 9.590000e-01 3.066147e+00 0.000000e+00 0.000000e+00
2.626180 -9.990000e+02 -9.990000e+11 1.000000e+07 4.026000e+41 2.711000e+02 9.445000e-01 1.034574e+01 0.000000e+00 0.000000e+00
2.776080 -9.990000e+02 -2.211000e+104 1.000000e+07 4.367000e+41 2.701000e+02 9.302000e-01 3.853496e+00 0.000000e+00 0.000000e+00
2.925980 -9.990000e+02 -2.437000e+104 1.000000e+07 4.717000e+41 2.691000e+02 9.161000e-01 8.561785e+00 0.000000e+00 0.000000e+00
3.075870 2.451000e+02 8.666000e+02 1.000000e+07 5.076000e+41 2.682000e+02 9.021000e-01 4.730725e+00 0.000000e+00 0.000000e+00
3.225770 2.520000e+02 1.265000e+03 1.000000e+07 5.443000e+41 2.672000e+02 8.881000e-01 1.040613e+01 0.000000e+00 0.000000e+00
3.375670 1.114000e+02 1.886000e+02 1.000000e+07 5.819000e+41 2.662000e+02 8.744000e-01 5.697869e+00 0.000000e+00 0.000000e+00
3.525560 2.936000e+102 3.014000e+203 1.000000e+07 6.203000e+41 2.652000e+02 8.608000e-01 0.000000e+00 0.000000e+00 0.000000e+00
3.675460 -9.990000e+02 -2.211000e+104 1.000000e+07 6.595000e+41 2.643000e+02 8.475000e-01 2.026462e+01 0.000000e+00 0.000000e+00
3.825350 1.313000e+02 2.288000e+02 1.000000e+07 6.995000e+41 2.633000e+02 8.344000e-01 2.926825e+01 0.000000e+00 0.000000e+00
3.975250 -9.990000e+02 -2.437000e+104 1.000000e+07 7.403000e+41 2.623000e+02 8.215000e-01 0.000000e+00 0.000000e+00 0.000000e+00
4.125150 -9.990000e+02 -2.437000e+104 1.000000e+07 7.819000e+41 2.613000e+02 8.085000e-01 2.552673e+01 0.000000e+00 0.000000e+00
4.275040 -9.990000e+02 -2.437000e+104 1.000000e+07 8.241000e+41 2.604000e+02 7.957000e-01 0.000000e+00 0.000000e+00 0.000000e+00
4.424940 9.723000e+102 9.983000e+203 1.000000e+07 8.672000e+41 2.594000e+02 7.830000e-01 2.937182e+01 0.000000e+00 0.000000e+00
4.574830 -9.990000e+02 -2.211000e+104 1.000000e+07 9.109000e+41 2.584000e+02 7.706000e-01 1.046512e+01 0.000000e+00 0.000000e+00
4.724730 -9.990000e+02 -2.211000e+104 1.000000e+07 9.554000e+41 2.574000e+02 7.584000e-01 2.232434e+01 0.000000e+00 0.000000e+00
4.874630 -9.990000e+02 -2.211000e+104 1.000000e+07 1.001000e+42 2.565000e+02 7.463000e-01 2.376338e+01 0.000000e+00 0.000000e+00
5.024520 -9.990000e+02 -2.437000e+104 1.000000e+07 1.046000e+42 2.555000e+02 7.345000e-01 3.787092e+01 0.000000e+00 0.000000e+00
5.174420 -9.990000e+02 -2.211000e+104 1.000000e+07 1.093000e+42 2.545000e+02 7.225000e-01 0.000000e+00 0.000000e+00 0.000000e+00
5.324320 7.610000e+01 2.812000e+02 1.000000e+07 1.140000e+42 2.536000e+02 7.108000e-01 1.417501e+01 0.000000e+00 0.000000e+00
