2021/07/09 17:00:35-17:14:33 JST
fH2O= 58.55 /mnt/d/data/Na210709/17/Na171333.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.775000e+01 2.825000e-01 1.073000e-01 5.645000e-02 2.869000e+02 1.203000e+00 4.161698e+03 0.000000e+00 0.000000e+00
0.265320 1.682000e+01 2.281000e-01 2.239000e-01 1.176000e-01 2.864000e+02 1.194000e+00 8.454928e+03 0.000000e+00 0.000000e+00
0.340270 1.608000e+01 2.176000e-01 3.692000e-01 1.937000e-01 2.859000e+02 1.185000e+00 1.362897e+04 0.000000e+00 0.000000e+00
0.415210 1.614000e+01 2.236000e-01 5.234000e-01 2.745000e-01 2.854000e+02 1.177000e+00 1.893024e+04 0.000000e+00 0.000000e+00
0.490160 1.572000e+01 2.341000e-01 6.563000e-01 3.441000e-01 2.849000e+02 1.168000e+00 2.327631e+04 0.000000e+00 0.000000e+00
0.565110 1.432000e+01 2.358000e-01 7.834000e-01 4.107000e-01 2.845000e+02 1.160000e+00 2.726301e+04 0.000000e+00 0.000000e+00
0.640060 1.390000e+01 2.640000e-01 7.932000e-01 4.158000e-01 2.840000e+02 1.151000e+00 2.710048e+04 0.000000e+00 0.000000e+00
0.715010 1.441000e+01 2.997000e-01 9.577000e-01 5.020000e-01 2.835000e+02 1.143000e+00 3.213483e+04 0.000000e+00 0.000000e+00
0.789960 1.495000e+01 4.185000e-01 5.234000e+00 2.570000e+00 2.830000e+02 1.135000e+00 1.425771e+05 0.000000e+00 0.000000e+00
0.864900 1.396000e+01 7.234000e-01 1.210000e+00 5.932000e-01 2.825000e+02 1.126000e+00 3.207980e+04 0.000000e+00 0.000000e+00
0.939850 1.199000e+01 8.271000e-01 5.799000e-01 2.842000e-01 2.820000e+02 1.118000e+00 1.511227e+04 0.000000e+00 0.000000e+00
1.014800 1.276000e+01 9.240000e-01 5.958000e-01 2.919000e-01 2.815000e+02 1.110000e+00 1.526239e+04 0.000000e+00 0.000000e+00
1.127220 1.107000e+01 7.707000e-01 5.992000e-01 4.034000e-01 2.808000e+02 1.098000e+00 1.569868e+04 0.000000e+00 0.000000e+00
1.277120 1.054000e+01 9.838000e-01 6.331000e-01 4.260000e-01 2.798000e+02 1.082000e+00 1.603221e+04 0.000000e+00 0.000000e+00
1.427010 1.064000e+01 1.239000e+00 6.627000e-01 4.456000e-01 2.788000e+02 1.066000e+00 1.622567e+04 0.000000e+00 0.000000e+00
1.576910 1.068000e+01 1.531000e+00 7.066000e-01 4.750000e-01 2.779000e+02 1.050000e+00 1.673540e+04 0.000000e+00 0.000000e+00
1.726810 1.270000e+01 1.865000e+00 7.402000e-01 4.975000e-01 2.769000e+02 1.034000e+00 1.696418e+04 0.000000e+00 0.000000e+00
1.876700 1.426000e+01 2.291000e+00 8.385000e-01 5.635000e-01 2.759000e+02 1.019000e+00 1.859959e+04 0.000000e+00 0.000000e+00
2.026600 1.691000e+01 2.883000e+00 1.048000e+00 7.020000e-01 2.750000e+02 1.004000e+00 2.242174e+04 0.000000e+00 0.000000e+00
2.176500 1.253000e+01 3.479000e+00 1.029000e+00 6.867000e-01 2.740000e+02 9.887000e-01 2.125667e+04 0.000000e+00 0.000000e+00
2.326390 1.669000e+01 4.287000e+00 9.145000e-01 6.105000e-01 2.730000e+02 9.737000e-01 1.830535e+04 0.000000e+00 0.000000e+00
2.476290 5.080000e+00 5.351000e+00 7.858000e-01 5.245000e-01 2.720000e+02 9.590000e-01 1.524263e+04 0.000000e+00 0.000000e+00
2.626180 5.008000e+00 6.011000e+00 7.610000e-01 5.079000e-01 2.711000e+02 9.445000e-01 1.430751e+04 0.000000e+00 0.000000e+00
