2021/07/09 09:00:16-09:14:15 JST
fH2O= 58.55 /mnt/d/data/Na210709/09/Na091315.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.956000e+01 6.290000e-01 1.652000e-02 1.965000e-02 2.869000e+02 1.203000e+00 2.745236e+03 0.000000e+00 0.000000e+00
0.265320 1.894000e+01 6.915000e-01 4.517000e-02 5.372000e-02 2.864000e+02 1.194000e+00 6.517384e+03 0.000000e+00 0.000000e+00
0.340270 1.745000e+01 9.307000e-01 1.026000e-01 1.220000e-01 2.859000e+02 1.185000e+00 1.137797e+04 0.000000e+00 0.000000e+00
0.415210 1.663000e+01 1.168000e+00 7.063000e-02 8.394000e-02 2.854000e+02 1.177000e+00 6.762048e+03 0.000000e+00 0.000000e+00
0.490160 1.890000e+01 1.380000e+00 7.663000e-02 9.103000e-02 2.849000e+02 1.168000e+00 6.386286e+03 0.000000e+00 0.000000e+00
0.565110 1.580000e+01 1.531000e+00 9.894000e-02 1.175000e-01 2.845000e+02 1.160000e+00 7.043263e+03 0.000000e+00 0.000000e+00
0.640060 1.784000e+01 1.827000e+00 1.423000e-01 1.689000e-01 2.840000e+02 1.151000e+00 8.341295e+03 0.000000e+00 0.000000e+00
0.715010 1.682000e+01 2.208000e+00 5.521000e-01 6.554000e-01 2.835000e+02 1.143000e+00 1.964254e+04 0.000000e+00 0.000000e+00
0.789960 2.112000e+01 4.143000e+00 1.241000e+01 1.237000e+01 2.830000e+02 1.135000e+00 6.697897e+04 0.000000e+00 0.000000e+00
0.864900 -9.990000e+02 -9.990000e+11 5.163000e+00 4.981000e+00 2.825000e+02 1.126000e+00 1.721504e+04 0.000000e+00 0.000000e+00
0.939850 6.055000e+00 1.483000e+01 4.343000e+00 4.096000e+00 2.820000e+02 1.118000e+00 1.068929e+04 0.000000e+00 0.000000e+00
1.014800 -9.990000e+02 -9.990000e+11 3.391000e+00 3.156000e+00 2.815000e+02 1.110000e+00 6.870667e+03 0.000000e+00 0.000000e+00
1.127220 3.445000e+01 1.720000e+01 -9.990000e+02 -1.969000e+02 2.808000e+02 1.098000e+00 6.828422e+03 0.000000e+00 0.000000e+00
1.277120 -9.990000e+02 -1.957000e+105 -9.990000e+02 -1.971000e+02 2.798000e+02 1.082000e+00 4.752304e+03 0.000000e+00 0.000000e+00
1.427010 2.010000e+01 8.830000e+01 -9.990000e+02 -1.976000e+02 2.788000e+02 1.066000e+00 2.516264e+03 0.000000e+00 0.000000e+00
1.576910 5.227000e+00 4.687000e+01 -9.990000e+02 -1.994000e+02 2.779000e+02 1.050000e+00 1.101219e+03 0.000000e+00 0.000000e+00
1.726810 -9.990000e+02 -1.957000e+105 -9.990000e+02 -1.993000e+02 2.769000e+02 1.034000e+00 1.365335e+03 0.000000e+00 0.000000e+00
1.876700 -9.990000e+02 -1.957000e+105 -9.990000e+02 -2.021000e+02 2.759000e+02 1.019000e+00 7.786896e+02 0.000000e+00 0.000000e+00
2.026600 -9.990000e+02 -9.990000e+11 -9.990000e+02 -2.043000e+02 2.750000e+02 1.004000e+00 6.388525e+02 0.000000e+00 0.000000e+00
2.176500 -9.990000e+02 -1.957000e+105 -9.990000e+02 -2.046000e+02 2.740000e+02 9.887000e-01 7.060472e+02 0.000000e+00 0.000000e+00
2.326390 1.444000e+01 1.697000e+02 -9.990000e+02 -2.013000e+02 2.730000e+02 9.737000e-01 1.429506e+03 0.000000e+00 0.000000e+00
