2021/07/10 23:30:55-23:44:54 JST
fH2O= 58.55 /mnt/d/data/Na210710/23/Na234354.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.764000e+01 2.297000e-01 1.092000e-01 8.020000e-03 2.869000e+02 1.203000e+00 2.494965e+03 0.000000e+00 0.000000e+00
0.265320 1.590000e+01 1.934000e-01 2.425000e-01 1.656000e-02 2.864000e+02 1.194000e+00 5.394307e+03 0.000000e+00 0.000000e+00
0.340270 1.629000e+01 1.940000e-01 4.581000e-01 3.004000e-02 2.859000e+02 1.185000e+00 9.965232e+03 0.000000e+00 0.000000e+00
0.415210 1.520000e+01 1.927000e-01 5.388000e-01 3.425000e-02 2.854000e+02 1.177000e+00 1.148096e+04 0.000000e+00 0.000000e+00
0.490160 1.359000e+01 1.893000e-01 6.137000e-01 3.815000e-02 2.849000e+02 1.168000e+00 1.282568e+04 0.000000e+00 0.000000e+00
0.565110 1.242000e+01 1.875000e-01 6.809000e-01 4.168000e-02 2.845000e+02 1.160000e+00 1.396472e+04 0.000000e+00 0.000000e+00
0.640060 1.262000e+01 2.066000e-01 7.278000e-01 4.406000e-02 2.840000e+02 1.151000e+00 1.465246e+04 0.000000e+00 0.000000e+00
0.715010 1.240000e+01 2.189000e-01 7.743000e-01 4.653000e-02 2.835000e+02 1.143000e+00 1.531007e+04 0.000000e+00 0.000000e+00
0.789960 1.228000e+01 2.366000e-01 7.957000e-01 4.754000e-02 2.830000e+02 1.135000e+00 1.545504e+04 0.000000e+00 0.000000e+00
0.864900 1.226000e+01 2.580000e-01 7.916000e-01 4.703000e-02 2.825000e+02 1.126000e+00 1.510776e+04 0.000000e+00 0.000000e+00
0.939850 1.266000e+01 2.831000e-01 8.364000e-01 4.953000e-02 2.820000e+02 1.118000e+00 1.568684e+04 0.000000e+00 0.000000e+00
1.014800 1.218000e+01 2.984000e-01 8.618000e-01 5.094000e-02 2.815000e+02 1.110000e+00 1.588479e+04 0.000000e+00 0.000000e+00
1.127220 1.318000e+01 2.461000e-01 9.279000e-01 4.093000e-02 2.808000e+02 1.098000e+00 1.679847e+04 0.000000e+00 0.000000e+00
1.277120 1.162000e+01 2.609000e-01 9.344000e-01 4.115000e-02 2.798000e+02 1.082000e+00 1.634946e+04 0.000000e+00 0.000000e+00
1.427010 1.105000e+01 2.872000e-01 9.414000e-01 4.146000e-02 2.788000e+02 1.066000e+00 1.592541e+04 0.000000e+00 0.000000e+00
1.576910 1.024000e+01 3.061000e-01 9.744000e-01 4.303000e-02 2.779000e+02 1.050000e+00 1.594310e+04 0.000000e+00 0.000000e+00
1.726810 1.019000e+01 3.439000e-01 9.546000e-01 4.229000e-02 2.769000e+02 1.034000e+00 1.511271e+04 0.000000e+00 0.000000e+00
1.876700 1.044000e+01 3.851000e-01 9.435000e-01 4.192000e-02 2.759000e+02 1.019000e+00 1.445632e+04 0.000000e+00 0.000000e+00
2.026600 9.538000e+00 4.016000e-01 9.421000e-01 4.199000e-02 2.750000e+02 1.004000e+00 1.397456e+04 0.000000e+00 0.000000e+00
2.176500 9.233000e+00 4.291000e-01 9.580000e-01 4.290000e-02 2.740000e+02 9.887000e-01 1.375729e+04 0.000000e+00 0.000000e+00
2.326390 9.115000e+00 4.644000e-01 9.708000e-01 4.374000e-02 2.730000e+02 9.737000e-01 1.349947e+04 0.000000e+00 0.000000e+00
2.476290 7.644000e+00 4.546000e-01 9.717000e-01 4.412000e-02 2.720000e+02 9.590000e-01 1.308842e+04 0.000000e+00 0.000000e+00
2.626180 9.378000e+00 5.467000e-01 9.989000e-01 4.568000e-02 2.711000e+02 9.445000e-01 1.303667e+04 0.000000e+00 0.000000e+00
2.776080 8.927000e+00 5.859000e-01 9.806000e-01 4.532000e-02 2.701000e+02 9.302000e-01 1.240413e+04 0.000000e+00 0.000000e+00
2.925980 7.598000e+00 5.589000e-01 9.736000e-01 4.547000e-02 2.691000e+02 9.161000e-01 1.193813e+04 0.000000e+00 0.000000e+00
3.075870 7.760000e+00 6.059000e-01 9.642000e-01 4.555000e-02 2.682000e+02 9.021000e-01 1.146284e+04 0.000000e+00 0.000000e+00
3.225770 7.547000e+00 6.423000e-01 9.650000e-01 4.611000e-02 2.672000e+02 8.881000e-01 1.112384e+04 0.000000e+00 0.000000e+00
3.375670 5.375000e+00 5.586000e-01 9.766000e-01 4.720000e-02 2.662000e+02 8.744000e-01 1.091806e+04 0.000000e+00 0.000000e+00
3.525560 6.536000e+00 6.959000e-01 1.072000e+00 5.168000e-02 2.652000e+02 8.608000e-01 1.156624e+04 0.000000e+00 0.000000e+00
3.675460 6.835000e+00 7.186000e-01 1.019000e+00 5.000000e-02 2.643000e+02 8.475000e-01 1.065340e+04 0.000000e+00 0.000000e+00
3.825350 5.973000e+00 7.186000e-01 9.823000e-01 4.919000e-02 2.633000e+02 8.344000e-01 9.970215e+03 0.000000e+00 0.000000e+00
3.975250 4.556000e+00 6.545000e-01 1.006000e+00 5.091000e-02 2.623000e+02 8.215000e-01 9.911601e+03 0.000000e+00 0.000000e+00
4.125150 5.244000e+00 7.576000e-01 9.745000e-01 5.039000e-02 2.613000e+02 8.085000e-01 9.317530e+03 0.000000e+00 0.000000e+00
4.275040 4.570000e+00 7.217000e-01 9.477000e-01 5.008000e-02 2.604000e+02 7.957000e-01 8.798532e+03 0.000000e+00 0.000000e+00
4.424940 5.672000e+00 8.646000e-01 1.057000e+00 5.560000e-02 2.594000e+02 7.830000e-01 9.495026e+03 0.000000e+00 0.000000e+00
4.574830 5.373000e+00 9.078000e-01 1.045000e+00 5.597000e-02 2.584000e+02 7.706000e-01 9.090535e+03 0.000000e+00 0.000000e+00
4.724730 3.652000e+00 7.794000e-01 9.419000e-01 5.254000e-02 2.574000e+02 7.584000e-01 7.963524e+03 0.000000e+00 0.000000e+00
4.874630 3.502000e+00 7.806000e-01 1.000000e+00 1.312000e-02 2.565000e+02 7.463000e-01 8.215141e+03 0.000000e+00 0.000000e+00
5.024520 2.421000e+00 6.750000e-01 9.632000e-01 5.577000e-02 2.555000e+02 7.345000e-01 7.691825e+03 0.000000e+00 0.000000e+00
5.174420 2.831000e+00 7.917000e-01 1.044000e+00 6.072000e-02 2.545000e+02 7.225000e-01 8.077212e+03 0.000000e+00 0.000000e+00
5.324320 1.493000e+00 5.914000e-01 1.011000e+00 6.067000e-02 2.536000e+02 7.108000e-01 7.601318e+03 0.000000e+00 0.000000e+00
5.474210 2.514000e+00 7.945000e-01 1.007000e+00 6.195000e-02 2.526000e+02 6.992000e-01 7.360435e+03 0.000000e+00 0.000000e+00
5.624110 2.097000e+00 7.785000e-01 9.504000e-01 6.078000e-02 2.516000e+02 6.878000e-01 6.756016e+03 0.000000e+00 0.000000e+00
5.774000 1.724000e+00 7.406000e-01 9.745000e-01 6.333000e-02 2.506000e+02 6.766000e-01 6.737232e+03 0.000000e+00 0.000000e+00
5.923900 1.273000e+00 6.701000e-01 1.039000e+00 6.795000e-02 2.497000e+02 6.656000e-01 6.968672e+03 0.000000e+00 0.000000e+00
6.073800 3.137000e-01 5.137000e-01 9.122000e-01 6.362000e-02 2.487000e+02 6.547000e-01 5.959912e+03 0.000000e+00 0.000000e+00
6.223690 3.707000e-01 6.070000e-01 9.020000e-01 6.477000e-02 2.477000e+02 6.437000e-01 5.734478e+03 0.000000e+00 0.000000e+00
6.373590 1.731000e-02 4.835000e-01 9.428000e-01 6.842000e-02 2.467000e+02 6.330000e-01 5.831136e+03 0.000000e+00 0.000000e+00
6.523490 -9.990000e+02 -1.377000e+103 8.799000e-01 6.706000e-02 2.458000e+02 6.224000e-01 5.299662e+03 0.000000e+00 0.000000e+00
6.673380 2.015000e-02 5.627000e-01 9.272000e-01 7.120000e-02 2.448000e+02 6.121000e-01 5.434613e+03 0.000000e+00 0.000000e+00
6.823280 2.257000e-02 6.303000e-01 1.057000e+00 7.975000e-02 2.438000e+02 6.018000e-01 6.007564e+03 0.000000e+00 0.000000e+00
6.973170 4.661000e-01 7.636000e-01 9.255000e-01 7.491000e-02 2.429000e+02 5.918000e-01 5.131187e+03 0.000000e+00 0.000000e+00
7.123070 3.249000e-02 9.075000e-01 8.070000e-01 7.058000e-02 2.419000e+02 5.817000e-01 4.364386e+03 0.000000e+00 0.000000e+00
7.272970 1.123000e+00 1.094000e+00 9.307000e-01 7.927000e-02 2.409000e+02 5.717000e-01 4.893962e+03 0.000000e+00 0.000000e+00
7.422860 2.969000e-02 8.292000e-01 1.110000e+00 9.135000e-02 2.399000e+02 5.620000e-01 5.648968e+03 0.000000e+00 0.000000e+00
7.572760 3.169000e-02 8.852000e-01 1.104000e+00 9.353000e-02 2.390000e+02 5.523000e-01 5.449155e+03 0.000000e+00 0.000000e+00
7.722660 1.447000e+00 1.412000e+00 9.911000e-01 8.941000e-02 2.380000e+02 5.429000e-01 4.772102e+03 0.000000e+00 0.000000e+00
7.872550 -9.990000e+02 -1.377000e+103 9.772000e-01 9.079000e-02 2.370000e+02 5.336000e-01 4.587161e+03 0.000000e+00 0.000000e+00
8.022450 -9.990000e+02 -1.377000e+103 9.705000e-01 9.262000e-02 2.361000e+02 5.244000e-01 4.441617e+03 0.000000e+00 0.000000e+00
8.172340 3.613000e-02 1.009000e+00 1.036000e+00 9.895000e-02 2.351000e+02 5.152000e-01 4.609141e+03 0.000000e+00 0.000000e+00
8.322240 1.061000e+00 1.743000e+00 9.407000e-01 9.555000e-02 2.341000e+02 5.061000e-01 4.086983e+03 0.000000e+00 0.000000e+00
8.472140 7.296000e-01 1.196000e+00 1.028000e+00 1.035000e-01 2.331000e+02 4.972000e-01 4.343236e+03 0.000000e+00 0.000000e+00
8.622030 -9.990000e+02 -1.377000e+103 1.039000e+00 1.068000e-01 2.322000e+02 4.884000e-01 4.275198e+03 0.000000e+00 0.000000e+00
8.771930 -9.990000e+02 -1.377000e+103 1.007000e+00 1.074000e-01 2.312000e+02 4.798000e-01 4.040315e+03 0.000000e+00 0.000000e+00
8.921830 5.548000e-02 1.549000e+00 9.231000e-01 1.044000e-01 2.302000e+02 4.714000e-01 3.622261e+03 0.000000e+00 0.000000e+00
9.071720 6.300000e-02 1.760000e+00 8.583000e-01 1.024000e-01 2.293000e+02 4.630000e-01 3.292272e+03 0.000000e+00 0.000000e+00
9.221620 -9.990000e+02 -1.377000e+103 9.922000e-01 1.144000e-01 2.283000e+02 4.546000e-01 3.699668e+03 0.000000e+00 0.000000e+00
9.371510 -9.990000e+02 -1.377000e+103 1.144000e+00 1.280000e-01 2.273000e+02 4.464000e-01 4.128371e+03 0.000000e+00 0.000000e+00
9.521410 6.919000e-02 1.932000e+00 1.180000e+00 1.339000e-01 2.263000e+02 4.383000e-01 4.125481e+03 0.000000e+00 0.000000e+00
9.671310 1.383000e+00 2.274000e+00 1.069000e+00 1.294000e-01 2.254000e+02 4.304000e-01 3.648304e+03 0.000000e+00 0.000000e+00
9.821200 -9.990000e+02 -1.377000e+103 1.043000e+00 1.306000e-01 2.244000e+02 4.226000e-01 3.472844e+03 0.000000e+00 0.000000e+00
