2021/07/10 23:45:00-23:58:52 JST
fH2O= 62.19 /media/data/L0/Ko210710/23/Ko235800.(00-0d)25ns 24000/40bin dz149.90 7321 shot 0.300mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.192370 1.540000e+01 3.230000e-01 6.149000e-02 4.465000e-03 2.869000e+02 1.202000e+00 1.798514e+03 0.000000e+00 0.000000e+00
0.267320 1.593000e+01 2.637000e-01 1.771000e-01 1.176000e-02 2.864000e+02 1.194000e+00 5.013159e+03 0.000000e+00 0.000000e+00
0.342270 1.649000e+01 2.494000e-01 3.608000e-01 2.253000e-02 2.859000e+02 1.185000e+00 9.954992e+03 0.000000e+00 0.000000e+00
0.417210 1.672000e+01 2.481000e-01 5.766000e-01 3.498000e-02 2.854000e+02 1.176000e+00 1.555317e+04 0.000000e+00 0.000000e+00
0.492160 1.596000e+01 2.463000e-01 8.010000e-01 4.828000e-02 2.849000e+02 1.168000e+00 2.115857e+04 0.000000e+00 0.000000e+00
0.567110 1.625000e+01 2.648000e-01 9.883000e-01 5.957000e-02 2.844000e+02 1.159000e+00 2.558898e+04 0.000000e+00 0.000000e+00
0.642060 1.543000e+01 2.755000e-01 1.080000e+00 6.495000e-02 2.840000e+02 1.151000e+00 2.732276e+04 0.000000e+00 0.000000e+00
0.717010 1.521000e+01 2.991000e-01 1.178000e+00 7.041000e-02 2.835000e+02 1.143000e+00 2.901601e+04 0.000000e+00 0.000000e+00
0.791960 1.490000e+01 3.213000e-01 1.183000e+00 7.030000e-02 2.830000e+02 1.134000e+00 2.838512e+04 0.000000e+00 0.000000e+00
0.866900 1.440000e+01 3.432000e-01 1.092000e+00 6.479000e-02 2.825000e+02 1.126000e+00 2.562600e+04 0.000000e+00 0.000000e+00
0.941850 1.327000e+01 3.516000e-01 1.086000e+00 6.432000e-02 2.820000e+02 1.118000e+00 2.493339e+04 0.000000e+00 0.000000e+00
1.016800 1.356000e+01 3.934000e-01 1.085000e+00 6.418000e-02 2.815000e+02 1.110000e+00 2.438407e+04 0.000000e+00 0.000000e+00
1.129220 9.931000e+00 2.540000e-01 9.452000e-01 4.056000e-02 2.808000e+02 1.098000e+00 2.127335e+04 0.000000e+00 0.000000e+00
1.279120 9.469000e+00 2.835000e-01 9.588000e-01 4.117000e-02 2.798000e+02 1.081000e+00 2.084869e+04 0.000000e+00 0.000000e+00
1.429010 9.108000e+00 3.149000e-01 9.429000e-01 4.047000e-02 2.788000e+02 1.065000e+00 1.981582e+04 0.000000e+00 0.000000e+00
1.578910 8.639000e+00 3.394000e-01 9.672000e-01 4.159000e-02 2.779000e+02 1.050000e+00 1.965522e+04 0.000000e+00 0.000000e+00
1.728810 9.517000e+00 4.025000e-01 9.682000e-01 4.176000e-02 2.769000e+02 1.034000e+00 1.903297e+04 0.000000e+00 0.000000e+00
1.878700 8.846000e+00 4.216000e-01 9.721000e-01 4.208000e-02 2.759000e+02 1.019000e+00 1.849294e+04 0.000000e+00 0.000000e+00
2.028600 8.501000e+00 4.527000e-01 9.604000e-01 4.174000e-02 2.750000e+02 1.004000e+00 1.768371e+04 0.000000e+00 0.000000e+00
2.178500 8.342000e+00 4.847000e-01 9.883000e-01 4.315000e-02 2.740000e+02 9.885000e-01 1.761435e+04 0.000000e+00 0.000000e+00
2.328390 8.410000e+00 5.262000e-01 9.678000e-01 4.252000e-02 2.730000e+02 9.735000e-01 1.670190e+04 0.000000e+00 0.000000e+00
