2021/07/09 14:30:47-14:44:46 JST
fH2O= 58.55 /mnt/d/data/Na210709/14/Na144346.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.934000e+01 5.171000e-01 3.770000e-01 3.039000e-02 2.869000e+02 1.203000e+00 1.069138e+04 0.000000e+00 0.000000e+00
0.265320 1.646000e+01 4.784000e-01 2.336000e-01 1.774000e-02 2.864000e+02 1.194000e+00 6.452970e+03 0.000000e+00 0.000000e+00
0.340270 1.615000e+01 4.690000e-01 2.882000e-01 2.066000e-02 2.859000e+02 1.185000e+00 7.783180e+03 0.000000e+00 0.000000e+00
0.415210 1.579000e+01 4.898000e-01 3.496000e-01 2.378000e-02 2.854000e+02 1.177000e+00 9.251404e+03 0.000000e+00 0.000000e+00
0.490160 1.537000e+01 5.263000e-01 4.003000e-01 2.592000e-02 2.849000e+02 1.168000e+00 1.038682e+04 0.000000e+00 0.000000e+00
0.565110 1.436000e+01 5.461000e-01 4.611000e-01 2.862000e-02 2.845000e+02 1.160000e+00 1.174336e+04 0.000000e+00 0.000000e+00
0.640060 1.391000e+01 6.222000e-01 5.024000e-01 3.000000e-02 2.840000e+02 1.151000e+00 1.256156e+04 0.000000e+00 0.000000e+00
0.715010 1.331000e+01 7.154000e-01 5.497000e-01 3.175000e-02 2.835000e+02 1.143000e+00 1.349919e+04 0.000000e+00 0.000000e+00
0.789960 1.412000e+01 8.243000e-01 6.140000e-01 3.457000e-02 2.830000e+02 1.135000e+00 1.481285e+04 0.000000e+00 0.000000e+00
0.864900 1.361000e+01 9.521000e-01 6.987000e-01 3.872000e-02 2.825000e+02 1.126000e+00 1.656175e+04 0.000000e+00 0.000000e+00
0.939850 1.378000e+01 1.097000e+00 7.672000e-01 4.213000e-02 2.820000e+02 1.118000e+00 1.787187e+04 0.000000e+00 0.000000e+00
1.014800 1.349000e+01 1.266000e+00 8.343000e-01 4.562000e-02 2.815000e+02 1.110000e+00 1.910143e+04 0.000000e+00 0.000000e+00
1.127220 1.494000e+01 1.105000e+00 9.604000e-01 4.290000e-02 2.808000e+02 1.098000e+00 2.169574e+04 0.000000e+00 0.000000e+00
1.277120 1.509000e+01 1.416000e+00 9.580000e-01 4.282000e-02 2.798000e+02 1.082000e+00 2.092139e+04 0.000000e+00 0.000000e+00
1.427010 1.463000e+01 1.836000e+00 9.628000e-01 4.308000e-02 2.788000e+02 1.066000e+00 2.033346e+04 0.000000e+00 0.000000e+00
1.576910 1.144000e+01 2.253000e+00 8.648000e-01 3.820000e-02 2.779000e+02 1.050000e+00 1.767509e+04 0.000000e+00 0.000000e+00
1.726810 1.440000e+01 2.806000e+00 8.678000e-01 3.784000e-02 2.769000e+02 1.034000e+00 1.716795e+04 0.000000e+00 0.000000e+00
1.876700 7.343000e+00 3.220000e+00 8.584000e-01 3.689000e-02 2.759000e+02 1.019000e+00 1.644444e+04 0.000000e+00 0.000000e+00
2.026600 1.136000e+01 4.012000e+00 9.406000e-01 4.040000e-02 2.750000e+02 1.004000e+00 1.744756e+04 0.000000e+00 0.000000e+00
2.176500 1.429000e+01 4.686000e+00 1.147000e+00 4.804000e-02 2.740000e+02 9.887000e-01 2.036209e+04 0.000000e+00 0.000000e+00
2.326390 1.216000e+01 5.748000e+00 1.094000e+00 4.563000e-02 2.730000e+02 9.737000e-01 1.868322e+04 0.000000e+00 0.000000e+00
2.476290 1.312000e+01 7.103000e+00 1.114000e+00 4.603000e-02 2.720000e+02 9.590000e-01 1.827591e+04 0.000000e+00 0.000000e+00
2.626180 1.370000e+01 7.877000e+00 1.074000e+00 4.447000e-02 2.711000e+02 9.445000e-01 1.699769e+04 0.000000e+00 0.000000e+00
2.776080 4.100000e+00 9.531000e+00 9.685000e-01 4.070000e-02 2.701000e+02 9.302000e-01 1.487384e+04 0.000000e+00 0.000000e+00
2.925980 -9.990000e+02 -2.940000e+105 9.161000e-01 3.885000e-02 2.691000e+02 9.161000e-01 1.365935e+04 0.000000e+00 0.000000e+00
3.075870 3.565000e+00 1.134000e+01 9.531000e-01 4.067000e-02 2.682000e+02 9.021000e-01 1.378685e+04 0.000000e+00 0.000000e+00
3.225770 6.847000e+00 1.568000e+01 9.541000e-01 4.114000e-02 2.672000e+02 8.881000e-01 1.339640e+04 0.000000e+00 0.000000e+00
3.375670 -9.990000e+02 -2.940000e+105 9.407000e-01 4.105000e-02 2.662000e+02 8.744000e-01 1.282801e+04 0.000000e+00 0.000000e+00
