2021/07/09 06:15:00-06:28:52 JST
fH2O= 62.19 /media/data/L0/Ko210709/06/Ko062800.(00-0d)25ns 24000/40bin dz149.90 7319 shot 0.300mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.192370 1.932000e+01 3.985000e-01 1.147000e-01 1.185000e-01 2.869000e+02 1.202000e+00 2.735102e+03 0.000000e+00 0.000000e+00
0.267320 1.875000e+01 3.067000e-01 3.221000e-01 3.324000e-01 2.864000e+02 1.194000e+00 7.432688e+03 0.000000e+00 0.000000e+00
0.342270 1.833000e+01 2.794000e-01 6.269000e-01 6.470000e-01 2.859000e+02 1.185000e+00 1.409947e+04 0.000000e+00 0.000000e+00
0.417210 1.864000e+01 2.739000e-01 1.008000e+00 1.040000e+00 2.854000e+02 1.176000e+00 2.214435e+04 0.000000e+00 0.000000e+00
0.492160 1.729000e+01 2.685000e-01 1.468000e+00 1.510000e+00 2.849000e+02 1.168000e+00 3.086498e+04 0.000000e+00 0.000000e+00
0.567110 1.687000e+01 2.963000e-01 2.049000e+00 2.098000e+00 2.844000e+02 1.159000e+00 4.022757e+04 0.000000e+00 0.000000e+00
0.642060 1.749000e+01 3.550000e-01 2.478000e+00 2.520000e+00 2.840000e+02 1.151000e+00 4.459154e+04 0.000000e+00 0.000000e+00
0.717010 1.730000e+01 4.082000e-01 2.330000e+00 2.355000e+00 2.835000e+02 1.143000e+00 3.872532e+04 0.000000e+00 0.000000e+00
0.791960 1.692000e+01 4.845000e-01 3.606000e+00 3.589000e+00 2.830000e+02 1.134000e+00 5.232752e+04 0.000000e+00 0.000000e+00
0.866900 1.650000e+01 6.329000e-01 8.204000e+00 7.471000e+00 2.825000e+02 1.126000e+00 8.472277e+04 0.000000e+00 0.000000e+00
0.941850 1.561000e+01 1.052000e+00 1.538000e+01 9.911000e+00 2.820000e+02 1.118000e+00 8.244114e+04 0.000000e+00 0.000000e+00
1.016800 1.649000e+01 1.857000e+00 9.733000e+00 5.165000e+00 2.815000e+02 1.110000e+00 3.488928e+04 0.000000e+00 0.000000e+00
1.129220 1.101000e+01 2.185000e+00 3.030000e+00 1.644000e+00 2.808000e+02 1.098000e+00 9.385906e+03 0.000000e+00 0.000000e+00
1.279120 9.484000e+00 3.217000e+00 7.031000e-01 3.813000e-01 2.798000e+02 1.081000e+00 2.105133e+03 0.000000e+00 0.000000e+00
1.429010 1.414000e+01 4.168000e+00 7.017000e-01 3.804000e-01 2.788000e+02 1.065000e+00 2.031220e+03 0.000000e+00 0.000000e+00
1.578910 1.658000e+01 5.282000e+00 7.052000e-01 3.822000e-01 2.779000e+02 1.050000e+00 1.974158e+03 0.000000e+00 0.000000e+00
1.728810 1.830000e+01 6.749000e+00 7.033000e-01 3.810000e-01 2.769000e+02 1.034000e+00 1.905080e+03 0.000000e+00 0.000000e+00
1.878700 1.550000e+01 7.318000e+00 6.994000e-01 3.788000e-01 2.759000e+02 1.019000e+00 1.833968e+03 0.000000e+00 0.000000e+00
2.028600 1.207000e+01 9.124000e+00 7.318000e-01 3.963000e-01 2.750000e+02 1.004000e+00 1.857869e+03 0.000000e+00 0.000000e+00
2.178500 7.678000e-01 1.130000e+01 7.450000e-01 4.034000e-01 2.740000e+02 9.885000e-01 1.831150e+03 0.000000e+00 0.000000e+00
2.328390 7.692000e+00 1.290000e+01 7.303000e-01 3.954000e-01 2.730000e+02 9.735000e-01 1.738853e+03 0.000000e+00 0.000000e+00
2.478290 1.442000e+01 1.451000e+01 7.472000e-01 4.046000e-01 2.720000e+02 9.588000e-01 1.723943e+03 0.000000e+00 0.000000e+00
2.628180 -9.990000e+02 -4.119000e+104 1.208000e+00 6.506000e-01 2.711000e+02 9.443000e-01 2.654766e+03 0.000000e+00 0.000000e+00
