2021/07/10 16:30:32-16:44:31 JST
fH2O= 58.55 /mnt/d/data/Na210710/16/Na164331.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.744000e+01 2.775000e-01 2.165000e-01 1.030000e-01 2.869000e+02 1.203000e+00 1.099442e+04 0.000000e+00 0.000000e+00
0.265320 1.611000e+01 3.302000e-01 4.481000e-01 2.130000e-01 2.864000e+02 1.194000e+00 2.216251e+04 0.000000e+00 0.000000e+00
0.340270 1.682000e+01 4.334000e-01 3.616000e-01 1.717000e-01 2.859000e+02 1.185000e+00 1.748513e+04 0.000000e+00 0.000000e+00
0.415210 1.645000e+01 5.593000e-01 3.749000e-01 1.778000e-01 2.854000e+02 1.177000e+00 1.775763e+04 0.000000e+00 0.000000e+00
0.490160 1.559000e+01 6.691000e-01 2.563000e-01 1.214000e-01 2.849000e+02 1.168000e+00 1.190750e+04 0.000000e+00 0.000000e+00
0.565110 1.582000e+01 7.338000e-01 2.706000e-01 1.280000e-01 2.845000e+02 1.160000e+00 1.233463e+04 0.000000e+00 0.000000e+00
0.640060 1.503000e+01 8.434000e-01 3.491000e-01 1.649000e-01 2.840000e+02 1.151000e+00 1.562567e+04 0.000000e+00 0.000000e+00
0.715010 1.420000e+01 9.991000e-01 3.579000e-01 1.689000e-01 2.835000e+02 1.143000e+00 1.572968e+04 0.000000e+00 0.000000e+00
0.789960 1.352000e+01 1.176000e+00 3.720000e-01 1.754000e-01 2.830000e+02 1.135000e+00 1.605994e+04 0.000000e+00 0.000000e+00
0.864900 1.411000e+01 1.391000e+00 4.151000e-01 1.955000e-01 2.825000e+02 1.126000e+00 1.760842e+04 0.000000e+00 0.000000e+00
0.939850 1.499000e+01 1.742000e+00 4.318000e-01 2.032000e-01 2.820000e+02 1.118000e+00 1.799963e+04 0.000000e+00 0.000000e+00
1.014800 1.316000e+01 1.967000e+00 4.609000e-01 2.168000e-01 2.815000e+02 1.110000e+00 1.888651e+04 0.000000e+00 0.000000e+00
1.127220 1.240000e+01 1.713000e+00 4.959000e-01 3.144000e-01 2.808000e+02 1.098000e+00 2.043793e+04 0.000000e+00 0.000000e+00
1.277120 1.281000e+01 2.294000e+00 5.807000e-01 3.678000e-01 2.798000e+02 1.082000e+00 2.312655e+04 0.000000e+00 0.000000e+00
1.427010 1.431000e+01 3.058000e+00 6.275000e-01 3.971000e-01 2.788000e+02 1.066000e+00 2.416308e+04 0.000000e+00 0.000000e+00
1.576910 1.587000e+01 3.823000e+00 6.785000e-01 4.292000e-01 2.779000e+02 1.050000e+00 2.527123e+04 0.000000e+00 0.000000e+00
1.726810 8.771000e+00 5.545000e+00 7.502000e-01 4.745000e-01 2.769000e+02 1.034000e+00 2.703582e+04 0.000000e+00 0.000000e+00
1.876700 1.359000e+01 7.067000e+00 8.010000e-01 5.065000e-01 2.759000e+02 1.019000e+00 2.793503e+04 0.000000e+00 0.000000e+00
2.026600 1.272000e+01 8.634000e+00 8.337000e-01 5.271000e-01 2.750000e+02 1.004000e+00 2.815024e+04 0.000000e+00 0.000000e+00
2.176500 1.709000e+00 1.076000e+01 8.767000e-01 5.543000e-01 2.740000e+02 9.887000e-01 2.865671e+04 0.000000e+00 0.000000e+00
2.326390 1.014000e+01 1.377000e+01 9.553000e-01 6.039000e-01 2.730000e+02 9.737000e-01 3.023561e+04 0.000000e+00 0.000000e+00
2.476290 5.353000e+00 1.612000e+01 1.112000e+00 7.005000e-01 2.720000e+02 9.590000e-01 3.379507e+04 0.000000e+00 0.000000e+00
2.626180 5.974000e+00 1.759000e+01 1.247000e+00 7.825000e-01 2.711000e+02 9.445000e-01 3.606052e+04 0.000000e+00 0.000000e+00
2.776080 -9.990000e+02 -1.330000e+105 1.411000e+00 8.802000e-01 2.701000e+02 9.302000e-01 3.835339e+04 0.000000e+00 0.000000e+00
2.925980 1.666000e+00 3.675000e+01 1.652000e+00 1.022000e+00 2.691000e+02 9.161000e-01 4.150566e+04 0.000000e+00 0.000000e+00
3.075870 4.252000e+01 4.216000e+01 1.990000e+00 1.215000e+00 2.682000e+02 9.021000e-01 4.516484e+04 0.000000e+00 0.000000e+00
3.225770 -9.990000e+02 -1.330000e+105 2.264000e+00 1.357000e+00 2.672000e+02 8.881000e-01 4.555674e+04 0.000000e+00 0.000000e+00
3.375670 2.133000e+01 5.215000e+01 2.394000e+00 1.407000e+00 2.662000e+02 8.744000e-01 4.242407e+04 0.000000e+00 0.000000e+00
3.525560 4.315000e+01 6.902000e+01 2.655000e+00 1.519000e+00 2.652000e+02 8.608000e-01 4.075215e+04 0.000000e+00 0.000000e+00
3.675460 -9.990000e+02 -1.330000e+105 3.114000e+00 1.715000e+00 2.643000e+02 8.475000e-01 4.023536e+04 0.000000e+00 0.000000e+00
3.825350 -9.990000e+02 -1.330000e+105 3.877000e+00 1.999000e+00 2.633000e+02 8.344000e-01 4.017738e+04 0.000000e+00 0.000000e+00
3.975250 -9.990000e+02 -1.330000e+105 4.417000e+00 2.071000e+00 2.623000e+02 8.215000e-01 3.556124e+04 0.000000e+00 0.000000e+00
4.125150 3.991000e+01 1.050000e+02 5.092000e+00 2.061000e+00 2.613000e+02 8.085000e-01 3.060774e+04 0.000000e+00 0.000000e+00
4.275040 -9.990000e+02 -1.330000e+105 5.008000e+00 1.708000e+00 2.604000e+02 7.957000e-01 2.270293e+04 0.000000e+00 0.000000e+00
4.424940 8.852000e+01 1.773000e+02 5.251000e+00 1.387000e+00 2.594000e+02 7.830000e-01 1.775854e+04 0.000000e+00 0.000000e+00
4.574830 9.440000e+01 2.831000e+02 6.186000e+00 6.690000e-01 2.584000e+02 7.706000e-01 1.480528e+04 0.000000e+00 0.000000e+00
4.724730 1.748000e+01 3.338000e+02 2.571000e+00 2.270000e-01 2.574000e+02 7.584000e-01 5.471773e+03 0.000000e+00 0.000000e+00
4.874630 -9.990000e+02 -1.330000e+105 1.000000e+00 1.312000e-02 2.565000e+02 7.463000e-01 2.103378e+03 0.000000e+00 0.000000e+00
5.024520 -9.990000e+02 -1.330000e+105 3.004000e-01 4.688000e-02 2.555000e+02 7.345000e-01 6.564571e+02 0.000000e+00 0.000000e+00
5.174420 1.174000e+03 1.274000e+04 9.244000e-02 2.116000e-02 2.545000e+02 7.225000e-01 2.409889e+02 0.000000e+00 0.000000e+00
5.324320 3.699000e+02 5.085000e+03 1.773000e-02 5.488000e-03 2.536000e+02 7.108000e-01 9.922555e+01 0.000000e+00 0.000000e+00
5.474210 1.067000e+104 6.632000e+205 2.872000e-03 9.753000e-04 2.526000e+02 6.992000e-01 7.492203e+01 0.000000e+00 0.000000e+00
5.624110 -9.990000e+02 -1.330000e+105 2.094000e-02 6.592000e-03 2.516000e+02 6.878000e-01 1.107141e+02 0.000000e+00 0.000000e+00
5.774000 -9.990000e+02 -1.330000e+105 1.304000e-02 4.300000e-03 2.506000e+02 6.766000e-01 1.000235e+02 0.000000e+00 0.000000e+00
5.923900 -9.990000e+02 -1.330000e+105 1.411000e-02 4.687000e-03 2.497000e+02 6.656000e-01 1.052844e+02 0.000000e+00 0.000000e+00
6.073800 2.930000e+02 7.103000e+02 2.656000e-02 8.551000e-03 2.487000e+02 6.547000e-01 1.291269e+02 0.000000e+00 0.000000e+00
6.223690 1.108000e+02 2.381000e+02 6.528000e-02 1.930000e-02 2.477000e+02 6.437000e-01 1.936846e+02 0.000000e+00 0.000000e+00
6.373590 5.256000e+01 1.999000e+02 3.092000e-02 1.008000e-02 2.467000e+02 6.330000e-01 1.421884e+02 0.000000e+00 0.000000e+00
6.523490 4.630000e+103 2.878000e+205 7.580000e-02 2.273000e-02 2.458000e+02 6.224000e-01 2.127940e+02 0.000000e+00 0.000000e+00
6.673380 -9.990000e+02 -1.330000e+105 5.105000e-02 1.629000e-02 2.448000e+02 6.121000e-01 1.781477e+02 0.000000e+00 0.000000e+00
6.823280 5.306000e+02 1.425000e+03 5.730000e-03 2.048000e-03 2.438000e+02 6.018000e-01 1.164002e+02 0.000000e+00 0.000000e+00
6.973170 6.948000e+01 8.409000e+01 6.148000e-03 2.208000e-03 2.429000e+02 5.918000e-01 1.215705e+02 0.000000e+00 0.000000e+00
7.123070 3.379000e+103 2.100000e+205 1.761000e-01 4.974000e-02 2.419000e+02 5.817000e-01 3.551922e+02 0.000000e+00 0.000000e+00
7.272970 -9.990000e+02 -1.330000e+105 4.742000e-02 1.594000e-02 2.409000e+02 5.717000e-01 1.851484e+02 0.000000e+00 0.000000e+00
7.422860 3.431000e+103 2.132000e+205 2.159000e-102 7.958000e-103 2.399000e+02 5.620000e-01 8.265341e+01 0.000000e+00 0.000000e+00
