2021/07/09 10:30:08-10:44:07 JST
fH2O= 58.55 /mnt/d/data/Na210709/10/Na104307.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.901000e+01 5.465000e-01 7.685000e-02 3.014000e-02 2.869000e+02 1.203000e+00 3.157080e+03 0.000000e+00 0.000000e+00
0.265320 1.744000e+01 5.210000e-01 1.520000e-01 5.942000e-02 2.864000e+02 1.194000e+00 6.079996e+03 0.000000e+00 0.000000e+00
0.340270 1.762000e+01 5.732000e-01 2.387000e-01 9.312000e-02 2.859000e+02 1.185000e+00 9.338021e+03 0.000000e+00 0.000000e+00
0.415210 1.778000e+01 6.330000e-01 3.489000e-01 1.359000e-01 2.854000e+02 1.177000e+00 1.336947e+04 0.000000e+00 0.000000e+00
0.490160 1.700000e+01 7.047000e-01 4.665000e-01 1.815000e-01 2.849000e+02 1.168000e+00 1.752979e+04 0.000000e+00 0.000000e+00
0.565110 1.626000e+01 7.759000e-01 5.778000e-01 2.246000e-01 2.845000e+02 1.160000e+00 2.130876e+04 0.000000e+00 0.000000e+00
0.640060 1.842000e+01 9.734000e-01 6.671000e-01 2.592000e-01 2.840000e+02 1.151000e+00 2.415130e+04 0.000000e+00 0.000000e+00
0.715010 1.745000e+01 1.176000e+00 7.605000e-01 2.954000e-01 2.835000e+02 1.143000e+00 2.703963e+04 0.000000e+00 0.000000e+00
0.789960 1.799000e+01 1.430000e+00 8.427000e-01 3.273000e-01 2.830000e+02 1.135000e+00 2.943115e+04 0.000000e+00 0.000000e+00
0.864900 1.879000e+01 1.759000e+00 1.006000e+00 3.902000e-01 2.825000e+02 1.126000e+00 3.449584e+04 0.000000e+00 0.000000e+00
0.939850 1.908000e+01 2.163000e+00 9.778000e-01 3.795000e-01 2.820000e+02 1.118000e+00 3.296531e+04 0.000000e+00 0.000000e+00
1.014800 1.738000e+01 2.746000e+00 8.048000e-01 3.123000e-01 2.815000e+02 1.110000e+00 2.666744e+04 0.000000e+00 0.000000e+00
1.127220 1.830000e+01 2.513000e+00 8.482000e-01 4.363000e-01 2.808000e+02 1.098000e+00 2.813851e+04 0.000000e+00 0.000000e+00
1.277120 1.421000e+01 3.452000e+00 8.485000e-01 4.363000e-01 2.798000e+02 1.082000e+00 2.720285e+04 0.000000e+00 0.000000e+00
1.427010 1.760000e+01 4.864000e+00 8.914000e-01 4.584000e-01 2.788000e+02 1.066000e+00 2.763317e+04 0.000000e+00 0.000000e+00
1.576910 1.886000e+01 5.895000e+00 9.450000e-01 4.859000e-01 2.779000e+02 1.050000e+00 2.833528e+04 0.000000e+00 0.000000e+00
1.726810 -9.990000e+02 -9.990000e+11 1.071000e+00 5.487000e-01 2.769000e+02 1.034000e+00 3.088951e+04 0.000000e+00 0.000000e+00
1.876700 5.966000e+00 9.728000e+00 1.040000e+00 5.311000e-01 2.759000e+02 1.019000e+00 2.894351e+04 0.000000e+00 0.000000e+00
2.026600 1.202000e+01 1.235000e+01 9.062000e-01 4.627000e-01 2.750000e+02 1.004000e+00 2.441135e+04 0.000000e+00 0.000000e+00
2.176500 4.042000e+00 1.626000e+01 9.811000e-01 5.009000e-01 2.740000e+02 9.887000e-01 2.558383e+04 0.000000e+00 0.000000e+00
2.326390 -9.990000e+02 -1.178000e+105 9.746000e-01 4.976000e-01 2.730000e+02 9.737000e-01 2.461239e+04 0.000000e+00 0.000000e+00
2.476290 9.175000e+00 3.462000e+01 9.340000e-01 4.769000e-01 2.720000e+02 9.590000e-01 2.284795e+04 0.000000e+00 0.000000e+00
