2021/07/09 11:45:02-11:59:01 JST
fH2O= 58.55 /mnt/d/data/Na210709/11/Na115801.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.873000e+01 3.109000e-01 5.386000e-02 9.149000e-03 2.869000e+02 1.203000e+00 2.958322e+03 0.000000e+00 0.000000e+00
0.265320 1.693000e+01 2.594000e-01 1.290000e-01 2.154000e-02 2.864000e+02 1.194000e+00 6.899316e+03 0.000000e+00 0.000000e+00
0.340270 1.723000e+01 2.571000e-01 2.321000e-01 3.826000e-02 2.859000e+02 1.185000e+00 1.214209e+04 0.000000e+00 0.000000e+00
0.415210 1.651000e+01 2.610000e-01 3.449000e-01 5.629000e-02 2.854000e+02 1.177000e+00 1.767110e+04 0.000000e+00 0.000000e+00
0.490160 1.614000e+01 2.750000e-01 4.505000e-01 7.302000e-02 2.849000e+02 1.168000e+00 2.263510e+04 0.000000e+00 0.000000e+00
0.565110 1.537000e+01 2.831000e-01 5.450000e-01 8.792000e-02 2.845000e+02 1.160000e+00 2.687138e+04 0.000000e+00 0.000000e+00
0.640060 1.519000e+01 3.174000e-01 6.275000e-01 1.009000e-01 2.840000e+02 1.151000e+00 3.037383e+04 0.000000e+00 0.000000e+00
0.715010 1.519000e+01 3.545000e-01 6.961000e-01 1.117000e-01 2.835000e+02 1.143000e+00 3.309017e+04 0.000000e+00 0.000000e+00
0.789960 1.483000e+01 4.039000e-01 7.777000e-01 1.247000e-01 2.830000e+02 1.135000e+00 3.631890e+04 0.000000e+00 0.000000e+00
0.864900 1.524000e+01 4.574000e-01 8.809000e-01 1.412000e-01 2.825000e+02 1.126000e+00 4.041507e+04 0.000000e+00 0.000000e+00
0.939850 1.519000e+01 5.174000e-01 9.717000e-01 1.558000e-01 2.820000e+02 1.118000e+00 4.381318e+04 0.000000e+00 0.000000e+00
1.014800 1.483000e+01 5.876000e-01 1.037000e+00 1.660000e-01 2.815000e+02 1.110000e+00 4.587433e+04 0.000000e+00 0.000000e+00
1.127220 1.488000e+01 5.400000e-01 2.367000e+00 3.921000e-01 2.808000e+02 1.098000e+00 9.510635e+04 0.000000e+00 0.000000e+00
1.277120 1.424000e+01 9.642000e-01 1.697000e+00 2.678000e-01 2.798000e+02 1.082000e+00 6.207045e+04 0.000000e+00 0.000000e+00
1.427010 1.523000e+01 1.607000e+00 2.156000e+00 2.965000e-01 2.788000e+02 1.066000e+00 6.916268e+04 0.000000e+00 0.000000e+00
1.576910 1.400000e+01 2.551000e+00 5.087000e-01 6.830000e-02 2.779000e+02 1.050000e+00 1.578550e+04 0.000000e+00 0.000000e+00
1.726810 8.340000e+00 3.168000e+00 3.577000e-01 4.598000e-02 2.769000e+02 1.034000e+00 1.074196e+04 0.000000e+00 0.000000e+00
1.876700 1.317000e+01 4.090000e+00 3.082000e-01 3.751000e-02 2.759000e+02 1.019000e+00 8.959033e+03 0.000000e+00 0.000000e+00
2.026600 7.663000e+00 5.001000e+00 2.996000e-01 3.431000e-02 2.750000e+02 1.004000e+00 8.433306e+03 0.000000e+00 0.000000e+00
2.176500 1.627000e+01 6.067000e+00 2.928000e-01 3.131000e-02 2.740000e+02 9.887000e-01 7.979549e+03 0.000000e+00 0.000000e+00
2.326390 1.256000e+01 6.684000e+00 3.162000e-01 3.145000e-02 2.730000e+02 9.737000e-01 8.346348e+03 0.000000e+00 0.000000e+00
2.476290 1.627000e+01 9.165000e+00 3.475000e-01 3.209000e-02 2.720000e+02 9.590000e-01 8.886427e+03 0.000000e+00 0.000000e+00
2.626180 7.306000e+00 8.803000e+00 3.966000e-01 3.407000e-02 2.711000e+02 9.445000e-01 9.824969e+03 0.000000e+00 0.000000e+00
