2021/07/10 17:30:00-17:43:52 JST
fH2O= 62.19 /media/data/L0/Ko210710/17/Ko174300.(00-0d)25ns 24000/40bin dz149.90 7314 shot 0.300mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.192370 1.638000e+01 4.706000e-01 -9.990000e+02 -1.290000e+03 2.869000e+02 1.202000e+00 2.172548e+03 0.000000e+00 0.000000e+00
0.267320 1.508000e+01 3.650000e-01 -9.990000e+02 -1.290000e+03 2.864000e+02 1.194000e+00 5.294320e+03 0.000000e+00 0.000000e+00
0.342270 1.538000e+01 3.463000e-01 -9.990000e+02 -1.290000e+03 2.859000e+02 1.185000e+00 9.378717e+03 0.000000e+00 0.000000e+00
0.417210 1.598000e+01 3.477000e-01 -9.990000e+02 -1.290000e+03 2.854000e+02 1.176000e+00 1.250333e+04 0.000000e+00 0.000000e+00
0.492160 1.558000e+01 3.520000e-01 -9.990000e+02 -1.290000e+03 2.849000e+02 1.168000e+00 1.590241e+04 0.000000e+00 0.000000e+00
0.567110 1.589000e+01 3.772000e-01 -9.990000e+02 -1.290000e+03 2.844000e+02 1.159000e+00 1.935656e+04 0.000000e+00 0.000000e+00
0.642060 1.661000e+01 4.224000e-01 -9.990000e+02 -1.290000e+03 2.840000e+02 1.151000e+00 2.252491e+04 0.000000e+00 0.000000e+00
0.717010 1.549000e+01 4.426000e-01 -9.990000e+02 -1.290000e+03 2.835000e+02 1.143000e+00 2.554437e+04 0.000000e+00 0.000000e+00
0.791960 1.584000e+01 4.975000e-01 -9.990000e+02 -1.290000e+03 2.830000e+02 1.134000e+00 2.753263e+04 0.000000e+00 0.000000e+00
0.866900 1.526000e+01 5.473000e-01 -9.990000e+02 -1.290000e+03 2.825000e+02 1.126000e+00 3.210376e+04 0.000000e+00 0.000000e+00
0.941850 1.579000e+01 6.538000e-01 -9.990000e+02 -1.290000e+03 2.820000e+02 1.118000e+00 9.362838e+04 0.000000e+00 0.000000e+00
1.016800 1.612000e+01 8.643000e-01 -9.990000e+02 -1.290000e+03 2.815000e+02 1.110000e+00 5.995996e+04 0.000000e+00 0.000000e+00
1.129220 1.420000e+01 7.728000e-01 -nan nan 2.808000e+02 1.098000e+00 2.400641e+04 0.000000e+00 0.000000e+00
1.279120 1.222000e+01 9.697000e-01 -nan nan 2.798000e+02 1.081000e+00 1.394693e+04 0.000000e+00 0.000000e+00
1.429010 1.327000e+01 1.315000e+00 -nan nan 2.788000e+02 1.065000e+00 1.796375e+04 0.000000e+00 0.000000e+00
1.578910 1.312000e+01 2.460000e+00 -nan nan 2.779000e+02 1.050000e+00 7.691548e+04 0.000000e+00 0.000000e+00
1.728810 -9.990000e+02 -9.990000e+11 -nan nan 2.769000e+02 1.034000e+00 1.233492e+04 0.000000e+00 0.000000e+00
1.878700 1.147000e+01 2.499000e+01 -nan nan 2.759000e+02 1.019000e+00 2.609093e+03 0.000000e+00 0.000000e+00
2.028600 -9.990000e+02 -3.183000e+104 -nan nan 2.750000e+02 1.004000e+00 1.140652e+03 0.000000e+00 0.000000e+00
2.178500 -9.990000e+02 -3.183000e+104 -nan nan 2.740000e+02 9.885000e-01 1.182413e+03 0.000000e+00 0.000000e+00
2.328390 -9.990000e+02 -9.990000e+11 -nan nan 2.730000e+02 9.735000e-01 8.867546e+02 0.000000e+00 0.000000e+00
2.478290 4.370000e+00 3.670000e+01 -nan nan 2.720000e+02 9.588000e-01 1.247420e+03 0.000000e+00 0.000000e+00
2.628180 -9.990000e+02 -9.990000e+11 -nan nan 2.711000e+02 9.443000e-01 2.720502e+03 0.000000e+00 0.000000e+00
2.778080 -9.990000e+02 -9.990000e+11 -nan nan 2.701000e+02 9.300000e-01 2.676348e+03 0.000000e+00 0.000000e+00
2.927980 -9.990000e+02 -3.183000e+104 -nan nan 2.691000e+02 9.159000e-01 1.059111e+03 0.000000e+00 0.000000e+00
3.077870 4.543000e+02 2.472000e+03 -nan nan 2.682000e+02 9.019000e-01 5.116431e+02 0.000000e+00 0.000000e+00
3.227770 1.377000e+02 2.955000e+02 -nan nan 2.672000e+02 8.879000e-01 6.095908e+02 0.000000e+00 0.000000e+00
3.377670 1.140000e+103 1.817000e+204 -nan nan 2.662000e+02 8.742000e-01 2.567204e+02 0.000000e+00 0.000000e+00
3.527560 -9.990000e+02 -3.183000e+104 -nan nan 2.652000e+02 8.607000e-01 6.844456e+01 0.000000e+00 0.000000e+00
3.677460 5.753000e+01 4.240000e+02 -nan nan 2.642000e+02 8.473000e-01 5.409814e+01 0.000000e+00 0.000000e+00
3.827350 -9.990000e+02 -3.559000e+104 -nan nan 2.633000e+02 8.342000e-01 6.592286e+01 0.000000e+00 0.000000e+00
3.977250 1.318000e+103 2.100000e+204 -nan nan 2.623000e+02 8.213000e-01 1.581939e+01 0.000000e+00 0.000000e+00
4.127150 4.322000e+01 7.133000e+01 -nan nan 2.613000e+02 8.083000e-01 4.258593e+01 0.000000e+00 0.000000e+00
4.277040 -9.990000e+02 -3.559000e+104 -nan nan 2.604000e+02 7.955000e-01 3.658829e+01 0.000000e+00 0.000000e+00
4.426940 8.412000e+01 1.398000e+02 -nan -nan 2.594000e+02 7.829000e-01 9.799443e+00 0.000000e+00 0.000000e+00
4.576830 -9.990000e+02 -3.183000e+104 -nan nan 2.584000e+02 7.704000e-01 2.094857e+01 0.000000e+00 0.000000e+00
4.726730 2.510000e+03 3.821000e+04 -nan nan 2.574000e+02 7.582000e-01 4.468662e+01 0.000000e+00 0.000000e+00
4.876630 2.345000e+02 1.045000e+03 -nan nan 2.565000e+02 7.462000e-01 6.659604e+02 0.000000e+00 0.000000e+00
5.026520 3.663000e+02 1.229000e+03 -nan nan 2.555000e+02 7.343000e-01 4.548297e+02 0.000000e+00 0.000000e+00
5.176420 -9.990000e+02 -3.183000e+104 -nan nan 2.545000e+02 7.224000e-01 4.019538e+01 0.000000e+00 0.000000e+00
5.326320 7.077000e+102 1.128000e+204 -nan nan 2.535000e+02 7.106000e-01 5.674283e+01 0.000000e+00 0.000000e+00
5.476210 -9.990000e+02 -3.183000e+104 -nan nan 2.526000e+02 6.990000e-01 2.999064e+01 0.000000e+00 0.000000e+00
5.626110 7.718000e+01 3.771000e+02 -nan nan 2.516000e+02 6.877000e-01 1.107931e+02 0.000000e+00 0.000000e+00
5.776000 -9.990000e+02 -3.559000e+104 -nan nan 2.506000e+02 6.765000e-01 3.336416e+01 0.000000e+00 0.000000e+00
5.925900 -9.990000e+02 -3.183000e+104 -nan nan 2.497000e+02 6.655000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.075800 9.428000e+01 1.128000e+02 -nan nan 2.487000e+02 6.545000e-01 3.691755e+01 0.000000e+00 0.000000e+00
6.225690 2.257000e+103 3.597000e+204 -nan nan 2.477000e+02 6.436000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.375590 1.095000e+02 1.871000e+02 -nan nan 2.467000e+02 6.329000e-01 2.032528e+01 0.000000e+00 0.000000e+00
6.525490 4.474000e+01 8.204000e+01 -nan nan 2.458000e+02 6.223000e-01 6.387698e+01 0.000000e+00 0.000000e+00
6.675380 -9.990000e+02 -3.183000e+104 -nan nan 2.448000e+02 6.119000e-01 2.228168e+01 0.000000e+00 0.000000e+00
6.825280 2.858000e+102 4.554000e+203 -nan nan 2.438000e+02 6.017000e-01 0.000000e+00 0.000000e+00 0.000000e+00
6.975170 8.369000e+01 1.241000e+02 -nan nan 2.429000e+02 5.917000e-01 0.000000e+00 0.000000e+00 0.000000e+00
7.125070 1.653000e+103 2.634000e+204 -nan nan 2.419000e+02 5.816000e-01 2.538484e+01 0.000000e+00 0.000000e+00
7.274970 6.418000e+102 1.023000e+204 -nan nan 2.409000e+02 5.716000e-01 0.000000e+00 0.000000e+00 0.000000e+00
7.424860 1.408000e+02 1.672000e+02 -nan nan 2.399000e+02 5.618000e-01 2.756594e+01 0.000000e+00 0.000000e+00
7.574760 6.229000e+01 1.435000e+02 -nan nan 2.389000e+02 5.522000e-01 0.000000e+00 0.000000e+00 0.000000e+00
7.724660 -9.990000e+02 -3.183000e+104 -nan nan 2.380000e+02 5.427000e-01 2.983700e+01 0.000000e+00 0.000000e+00
7.874550 -9.990000e+02 -3.183000e+104 -nan nan 2.370000e+02 5.334000e-01 0.000000e+00 0.000000e+00 0.000000e+00
8.024450 2.195000e+01 9.154000e+01 -nan nan 2.361000e+02 5.243000e-01 0.000000e+00 0.000000e+00 0.000000e+00
8.174340 -9.990000e+02 -3.559000e+104 -nan nan 2.351000e+02 5.150000e-01 0.000000e+00 0.000000e+00 0.000000e+00
8.324240 -9.990000e+02 -3.183000e+104 -nan nan 2.341000e+02 5.060000e-01 6.929728e+01 0.000000e+00 0.000000e+00
