2021/07/10 17:00:30-17:14:29 JST
fH2O= 58.55 /mnt/d/data/Na210710/17/Na171329.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.763000e+01 4.759000e-01 1.051000e-01 1.354000e-02 2.869000e+02 1.203000e+00 3.383483e+03 0.000000e+00 0.000000e+00
0.265320 1.740000e+01 5.211000e-01 2.814000e-01 3.551000e-02 2.864000e+02 1.194000e+00 8.818605e+03 0.000000e+00 0.000000e+00
0.340270 1.645000e+01 5.896000e-01 1.623000e-01 1.992000e-02 2.859000e+02 1.185000e+00 4.972723e+03 0.000000e+00 0.000000e+00
0.415210 1.576000e+01 6.581000e-01 2.048000e-01 2.449000e-02 2.854000e+02 1.177000e+00 6.149024e+03 0.000000e+00 0.000000e+00
0.490160 1.606000e+01 7.575000e-01 2.583000e-01 3.017000e-02 2.849000e+02 1.168000e+00 7.605119e+03 0.000000e+00 0.000000e+00
0.565110 1.542000e+01 8.367000e-01 3.439000e-01 3.940000e-02 2.845000e+02 1.160000e+00 9.934966e+03 0.000000e+00 0.000000e+00
0.640060 1.572000e+01 1.058000e+00 1.022000e+00 1.168000e-01 2.840000e+02 1.151000e+00 2.894767e+04 0.000000e+00 0.000000e+00
0.715010 1.473000e+01 1.609000e+00 9.903000e-01 1.133000e-01 2.835000e+02 1.143000e+00 2.755747e+04 0.000000e+00 0.000000e+00
0.789960 1.587000e+01 2.037000e+00 4.585000e-01 5.183000e-02 2.830000e+02 1.135000e+00 1.253491e+04 0.000000e+00 0.000000e+00
0.864900 1.771000e+01 2.702000e+00 2.535000e-01 2.801000e-02 2.825000e+02 1.126000e+00 6.809114e+03 0.000000e+00 0.000000e+00
0.939850 1.459000e+01 3.174000e+00 2.200000e-01 2.367000e-02 2.820000e+02 1.118000e+00 5.807385e+03 0.000000e+00 0.000000e+00
1.014800 1.127000e+01 3.587000e+00 2.341000e-01 2.451000e-02 2.815000e+02 1.110000e+00 6.075155e+03 0.000000e+00 0.000000e+00
1.127220 1.627000e+01 3.195000e+00 2.997000e-01 3.622000e-02 2.808000e+02 1.098000e+00 6.603270e+03 0.000000e+00 0.000000e+00
1.277120 1.468000e+01 4.274000e+00 3.444000e-01 3.902000e-02 2.798000e+02 1.082000e+00 7.333603e+03 0.000000e+00 0.000000e+00
1.427010 1.951000e+01 5.217000e+00 3.846000e-01 4.094000e-02 2.788000e+02 1.066000e+00 7.918531e+03 0.000000e+00 0.000000e+00
