2021/07/09 18:00:30-18:14:29 JST
fH2O= 58.55 /mnt/d/data/Na210709/18/Na181329.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.905000e+01 2.528000e-01 -9.990000e+02 -4.937000e+02 2.869000e+02 1.203000e+00 4.852595e+03 0.000000e+00 0.000000e+00
0.265320 1.718000e+01 2.103000e-01 -9.990000e+02 -4.937000e+02 2.864000e+02 1.194000e+00 9.683706e+03 0.000000e+00 0.000000e+00
0.340270 1.713000e+01 2.082000e-01 -9.990000e+02 -4.937000e+02 2.859000e+02 1.185000e+00 1.317710e+04 0.000000e+00 0.000000e+00
0.415210 1.669000e+01 2.117000e-01 -9.990000e+02 -4.937000e+02 2.854000e+02 1.177000e+00 1.542150e+04 0.000000e+00 0.000000e+00
0.490160 1.594000e+01 2.185000e-01 -9.990000e+02 -4.937000e+02 2.849000e+02 1.168000e+00 1.976299e+04 0.000000e+00 0.000000e+00
0.565110 1.516000e+01 2.248000e-01 -9.990000e+02 -4.937000e+02 2.845000e+02 1.160000e+00 2.774139e+04 0.000000e+00 0.000000e+00
0.640060 1.536000e+01 2.644000e-01 -9.990000e+02 -4.937000e+02 2.840000e+02 1.151000e+00 6.822546e+04 0.000000e+00 0.000000e+00
0.715010 1.557000e+01 3.495000e-01 -9.990000e+02 -4.937000e+02 2.835000e+02 1.143000e+00 7.092347e+04 0.000000e+00 0.000000e+00
0.789960 1.385000e+01 4.160000e-01 -9.990000e+02 -4.937000e+02 2.830000e+02 1.135000e+00 2.480791e+04 0.000000e+00 0.000000e+00
0.864900 1.294000e+01 4.622000e-01 -9.990000e+02 -4.937000e+02 2.825000e+02 1.126000e+00 1.609615e+04 0.000000e+00 0.000000e+00
0.939850 1.319000e+01 5.243000e-01 -9.990000e+02 -4.937000e+02 2.820000e+02 1.118000e+00 1.632287e+04 0.000000e+00 0.000000e+00
1.014800 1.201000e+01 5.808000e-01 -9.990000e+02 -4.937000e+02 2.815000e+02 1.110000e+00 1.621385e+04 0.000000e+00 0.000000e+00
1.127220 1.124000e+01 4.762000e-01 0.000000e+00 nan 2.808000e+02 1.098000e+00 1.673998e+04 0.000000e+00 0.000000e+00
1.277120 1.207000e+01 6.130000e-01 0.000000e+00 nan 2.798000e+02 1.082000e+00 1.715282e+04 0.000000e+00 0.000000e+00
1.427010 1.422000e+01 7.857000e-01 0.000000e+00 nan 2.788000e+02 1.066000e+00 1.959109e+04 0.000000e+00 0.000000e+00
1.576910 1.517000e+01 9.871000e-01 0.000000e+00 nan 2.779000e+02 1.050000e+00 2.067029e+04 0.000000e+00 0.000000e+00
1.726810 1.428000e+01 1.227000e+00 0.000000e+00 nan 2.769000e+02 1.034000e+00 2.034616e+04 0.000000e+00 0.000000e+00
