2021/07/09 16:45:36-16:59:35 JST
fH2O= 58.55 /mnt/d/data/Na210709/16/Na165835.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.814000e+01 2.791000e-01 5.097000e-02 1.216000e-01 2.869000e+02 1.203000e+00 4.800387e+03 0.000000e+00 0.000000e+00
0.265320 1.660000e+01 2.274000e-01 9.966000e-02 2.378000e-01 2.864000e+02 1.194000e+00 9.141545e+03 0.000000e+00 0.000000e+00
0.340270 1.677000e+01 2.233000e-01 1.598000e-01 3.813000e-01 2.859000e+02 1.185000e+00 1.433125e+04 0.000000e+00 0.000000e+00
0.415210 1.630000e+01 2.257000e-01 2.153000e-01 5.137000e-01 2.854000e+02 1.177000e+00 1.891390e+04 0.000000e+00 0.000000e+00
0.490160 1.557000e+01 2.341000e-01 2.615000e-01 6.238000e-01 2.849000e+02 1.168000e+00 2.252602e+04 0.000000e+00 0.000000e+00
0.565110 1.426000e+01 2.379000e-01 2.943000e-01 7.021000e-01 2.845000e+02 1.160000e+00 2.488002e+04 0.000000e+00 0.000000e+00
0.640060 1.371000e+01 2.617000e-01 3.255000e-01 7.766000e-01 2.840000e+02 1.151000e+00 2.701911e+04 0.000000e+00 0.000000e+00
0.715010 1.385000e+01 2.956000e-01 3.399000e-01 8.109000e-01 2.835000e+02 1.143000e+00 2.770966e+04 0.000000e+00 0.000000e+00
0.789960 1.460000e+01 3.613000e-01 1.236000e+00 2.945000e+00 2.830000e+02 1.135000e+00 9.794443e+04 0.000000e+00 0.000000e+00
0.864900 1.480000e+01 9.077000e-01 6.419000e+01 2.305000e+01 2.825000e+02 1.126000e+00 2.966095e+05 0.000000e+00 0.000000e+00
0.939850 1.368000e+01 4.881000e+00 9.928000e+00 1.833000e+00 2.820000e+02 1.118000e+00 3.034062e+04 0.000000e+00 0.000000e+00
1.014800 1.184000e+01 7.285000e+00 2.484000e+00 4.403000e-01 2.815000e+02 1.110000e+00 6.992916e+03 0.000000e+00 0.000000e+00
1.127220 1.231000e+01 7.100000e+00 9.627000e-01 1.401000e-01 2.808000e+02 1.098000e+00 2.715844e+03 0.000000e+00 0.000000e+00
1.277120 5.972000e+00 9.266000e+00 7.165000e-01 1.039000e-01 2.798000e+02 1.082000e+00 1.956446e+03 0.000000e+00 0.000000e+00
1.427010 -9.990000e+02 -9.990000e+11 6.424000e-01 9.241000e-02 2.788000e+02 1.066000e+00 1.698781e+03 0.000000e+00 0.000000e+00
1.576910 1.349000e+01 1.428000e+01 6.572000e-01 9.381000e-02 2.779000e+02 1.050000e+00 1.682994e+03 0.000000e+00 0.000000e+00
1.726810 -9.990000e+02 -1.745000e+105 6.987000e-01 9.917000e-02 2.769000e+02 1.034000e+00 1.732777e+03 0.000000e+00 0.000000e+00
1.876700 1.996000e+01 2.325000e+01 7.697000e-01 1.090000e-01 2.759000e+02 1.019000e+00 1.849037e+03 0.000000e+00 0.000000e+00
2.026600 -9.990000e+02 -9.990000e+11 9.790000e-01 1.384000e-01 2.750000e+02 1.004000e+00 2.275552e+03 0.000000e+00 0.000000e+00
2.176500 2.165000e+01 2.527000e+01 9.857000e-01 1.399000e-01 2.740000e+02 9.887000e-01 2.221248e+03 0.000000e+00 0.000000e+00
2.326390 9.869000e+00 3.594000e+01 8.672000e-01 1.240000e-01 2.730000e+02 9.737000e-01 1.898170e+03 0.000000e+00 0.000000e+00
2.476290 -9.990000e+02 -9.990000e+11 7.388000e-01 1.064000e-01 2.720000e+02 9.590000e-01 1.573630e+03 0.000000e+00 0.000000e+00
2.626180 -9.990000e+02 -9.990000e+11 7.522000e-01 1.085000e-01 2.711000e+02 9.445000e-01 1.555912e+03 0.000000e+00 0.000000e+00
2.776080 1.490000e+01 5.337000e+01 6.495000e-01 9.437000e-02 2.701000e+02 9.302000e-01 1.310572e+03 0.000000e+00 0.000000e+00
2.925980 -9.990000e+02 -9.990000e+11 7.332000e-01 1.061000e-01 2.691000e+02 9.161000e-01 1.434512e+03 0.000000e+00 0.000000e+00
3.075870 1.843000e+01 6.243000e+01 5.847000e-01 8.593000e-02 2.682000e+02 9.021000e-01 1.121411e+03 0.000000e+00 0.000000e+00
3.225770 5.893000e+01 1.124000e+02 6.633000e-01 9.677000e-02 2.672000e+02 8.881000e-01 1.233377e+03 0.000000e+00 0.000000e+00
3.375670 1.472000e+02 2.067000e+02 6.375000e-01 9.365000e-02 2.662000e+02 8.744000e-01 1.156869e+03 0.000000e+00 0.000000e+00
3.525560 1.087000e+02 1.617000e+02 7.427000e-01 1.083000e-01 2.652000e+02 8.608000e-01 1.305409e+03 0.000000e+00 0.000000e+00
3.675460 7.798000e+01 1.023000e+02 7.576000e-01 1.111000e-01 2.643000e+02 8.475000e-01 1.297148e+03 0.000000e+00 0.000000e+00
3.825350 8.447000e+01 1.819000e+02 6.703000e-01 1.003000e-01 2.633000e+02 8.344000e-01 1.126974e+03 0.000000e+00 0.000000e+00
3.975250 4.747000e+01 1.093000e+02 7.098000e-01 1.064000e-01 2.623000e+02 8.215000e-01 1.161701e+03 0.000000e+00 0.000000e+00
4.125150 9.460000e+01 1.111000e+03 2.000000e+00 2.559000e-01 2.613000e+02 8.085000e-01 2.876845e+03 0.000000e+00 0.000000e+00
4.275040 2.034000e+02 6.349000e+02 1.710000e+00 2.163000e-01 2.604000e+02 7.957000e-01 2.303398e+03 0.000000e+00 0.000000e+00
4.424940 2.200000e+01 1.637000e+02 1.367000e+00 1.783000e-01 2.594000e+02 7.830000e-01 1.772372e+03 0.000000e+00 0.000000e+00
4.574830 -9.990000e+02 -1.924000e+105 1.925000e+00 2.292000e-01 2.584000e+02 7.706000e-01 2.271355e+03 0.000000e+00 0.000000e+00
